Gene stable ID,Zebrafish gene stable ID
ENSRNOG00000026941,ENSDARG00000100791
ENSRNOG00000010846,ENSDARG00000052379
ENSRNOG00000026503,ENSDARG00000089578
ENSRNOG00000006139,ENSDARG00000035763
ENSRNOG00000024499,ENSDARG00000104791
ENSRNOG00000050553,ENSDARG00000070440
ENSRNOG00000004505,ENSDARG00000043210
ENSRNOG00000019019,ENSDARG00000056464
ENSRNOG00000019019,ENSDARG00000108683
ENSRNOG00000013579,ENSDARG00000018914
ENSRNOG00000013579,ENSDARG00000007034
ENSRNOG00000006353,ENSDARG00000017058
ENSRNOG00000050514,ENSDARG00000041400
ENSRNOG00000013855,ENSDARG00000068279
ENSRNOG00000046227,ENSDARG00000068149
ENSRNOG00000018047,ENSDARG00000003068
ENSRNOG00000018047,ENSDARG00000101928
ENSRNOG00000060665,ENSDARG00000055284
ENSRNOG00000014230,ENSDARG00000059601
ENSRNOG00000014230,ENSDARG00000022045
ENSRNOG00000001592,ENSDARG00000008243
ENSRNOG00000025938,ENSDARG00000052511
ENSRNOG00000001928,ENSDARG00000114719
ENSRNOG00000046260,ENSDARG00000079271
ENSRNOG00000008680,ENSDARG00000054451
ENSRNOG00000033372,ENSDARG00000008275
ENSRNOG00000007359,ENSDARG00000020187
ENSRNOG00000032558,ENSDARG00000018334
ENSRNOG00000004588,ENSDARG00000024306
ENSRNOG00000048275,ENSDARG00000089331
ENSRNOG00000048275,ENSDARG00000100719
ENSRNOG00000029773,ENSDARG00000002385
ENSRNOG00000004649,ENSDARG00000098700
ENSRNOG00000004649,ENSDARG00000089383
ENSRNOG00000052232,ENSDARG00000055295
ENSRNOG00000050521,ENSDARG00000026655
ENSRNOG00000045918,ENSDARG00000060925
ENSRNOG00000045918,ENSDARG00000062268
ENSRNOG00000014834,ENSDARG00000101579
ENSRNOG00000020460,ENSDARG00000037009
ENSRNOG00000046741,ENSDARG00000054973
ENSRNOG00000046741,ENSDARG00000000161
ENSRNOG00000019592,ENSDARG00000057276
ENSRNOG00000011745,ENSDARG00000101560
ENSRNOG00000020821,ENSDARG00000054456
ENSRNOG00000021274,ENSDARG00000052652
ENSRNOG00000014187,ENSDARG00000027423
ENSRNOG00000014187,ENSDARG00000034434
ENSRNOG00000016100,ENSDARG00000016754
ENSRNOG00000004438,ENSDARG00000087843
ENSRNOG00000004438,ENSDARG00000045685
ENSRNOG00000000963,ENSDARG00000062538
ENSRNOG00000009431,ENSDARG00000075156
ENSRNOG00000014743,ENSDARG00000025338
ENSRNOG00000010821,ENSDARG00000055743
ENSRNOG00000015304,ENSDARG00000069649
ENSRNOG00000013906,ENSDARG00000053575
ENSRNOG00000010492,ENSDARG00000076763
ENSRNOG00000015636,ENSDARG00000057635
ENSRNOG00000021578,ENSDARG00000013460
ENSRNOG00000021578,ENSDARG00000059139
ENSRNOG00000019177,ENSDARG00000063036
ENSRNOG00000045989,ENSDARG00000045144
ENSRNOG00000022619,ENSDARG00000007975
ENSRNOG00000022619,ENSDARG00000015551
ENSRNOG00000006033,ENSDARG00000002732
ENSRNOG00000013110,ENSDARG00000058728
ENSRNOG00000014288,ENSDARG00000019815
ENSRNOG00000014288,ENSDARG00000006526
ENSRNOG00000026898,ENSDARG00000035889
ENSRNOG00000000104,ENSDARG00000056517
ENSRNOG00000006068,ENSDARG00000088356
ENSRNOG00000053812,ENSDARG00000024717
ENSRNOG00000015416,ENSDARG00000043685
ENSRNOG00000015416,ENSDARG00000004692
ENSRNOG00000015716,ENSDARG00000095409
ENSRNOG00000015716,ENSDARG00000113315
ENSRNOG00000015716,ENSDARG00000097080
ENSRNOG00000015716,ENSDARG00000088794
ENSRNOG00000015716,ENSDARG00000074150
ENSRNOG00000015716,ENSDARG00000103650
ENSRNOG00000015716,ENSDARG00000097826
ENSRNOG00000015716,ENSDARG00000092778
ENSRNOG00000015716,ENSDARG00000076196
ENSRNOG00000015716,ENSDARG00000097588
ENSRNOG00000015716,ENSDARG00000086117
ENSRNOG00000015716,ENSDARG00000109626
ENSRNOG00000015716,ENSDARG00000052779
ENSRNOG00000015716,ENSDARG00000105341
ENSRNOG00000015235,ENSDARG00000102615
ENSRNOG00000031769,ENSDARG00000068156
ENSRNOG00000015502,ENSDARG00000043055
ENSRNOG00000009773,ENSDARG00000006773
ENSRNOG00000009773,ENSDARG00000027495
ENSRNOG00000017876,ENSDARG00000105195
ENSRNOG00000004521,ENSDARG00000100209
ENSRNOG00000014154,ENSDARG00000014591
ENSRNOG00000002657,ENSDARG00000017141
ENSRNOG00000002657,ENSDARG00000024546
ENSRNOG00000021085,ENSDARG00000008188
ENSRNOG00000013889,ENSDARG00000028816
ENSRNOG00000026157,ENSDARG00000069834
ENSRNOG00000017113,ENSDARG00000036685
ENSRNOG00000017113,ENSDARG00000036510
ENSRNOG00000016638,ENSDARG00000104372
ENSRNOG00000011909,ENSDARG00000078775
ENSRNOG00000010930,ENSDARG00000041908
ENSRNOG00000009564,ENSDARG00000025615
ENSRNOG00000009564,ENSDARG00000029308
ENSRNOG00000014282,ENSDARG00000101096
ENSRNOG00000047314,ENSDARG00000102245
ENSRNOG00000011178,ENSDARG00000040478
ENSRNOG00000005045,ENSDARG00000015474
ENSRNOG00000005045,ENSDARG00000069118
ENSRNOG00000007038,ENSDARG00000021584
ENSRNOG00000021119,ENSDARG00000002754
ENSRNOG00000051929,ENSDARG00000091029
ENSRNOG00000003866,ENSDARG00000057633
ENSRNOG00000003866,ENSDARG00000041959
ENSRNOG00000061526,ENSDARG00000067606
ENSRNOG00000035461,ENSDARG00000082287
ENSRNOG00000023951,ENSDARG00000075281
ENSRNOG00000052873,ENSDARG00000100797
ENSRNOG00000052873,ENSDARG00000018721
ENSRNOG00000043137,ENSDARG00000095347
ENSRNOG00000059245,ENSDARG00000037046
ENSRNOG00000020411,ENSDARG00000061413
ENSRNOG00000000979,ENSDARG00000010108
ENSRNOG00000025745,ENSDARG00000062030
ENSRNOG00000031208,ENSDARG00000012407
ENSRNOG00000031208,ENSDARG00000036065
ENSRNOG00000013969,ENSDARG00000044056
ENSRNOG00000019243,ENSDARG00000029955
ENSRNOG00000016177,ENSDARG00000008060
ENSRNOG00000058062,ENSDARG00000083089
ENSRNOG00000007680,ENSDARG00000014805
ENSRNOG00000002134,ENSDARG00000034063
ENSRNOG00000002134,ENSDARG00000068857
ENSRNOG00000002134,ENSDARG00000099382
ENSRNOG00000002134,ENSDARG00000112675
ENSRNOG00000002134,ENSDARG00000005627
ENSRNOG00000002134,ENSDARG00000103564
ENSRNOG00000002134,ENSDARG00000038668
ENSRNOG00000052775,ENSDARG00000054777
ENSRNOG00000011484,ENSDARG00000042905
ENSRNOG00000010516,ENSDARG00000039145
ENSRNOG00000004421,ENSDARG00000063414
ENSRNOG00000031485,ENSDARG00000020676
ENSRNOG00000001090,ENSDARG00000098954
ENSRNOG00000001090,ENSDARG00000079542
ENSRNOG00000007256,ENSDARG00000056566
ENSRNOG00000003931,ENSDARG00000103261
ENSRNOG00000003931,ENSDARG00000101715
ENSRNOG00000025608,ENSDARG00000037278
ENSRNOG00000007345,ENSDARG00000078335
ENSRNOG00000026564,ENSDARG00000061656
ENSRNOG00000026564,ENSDARG00000058873
ENSRNOG00000026564,ENSDARG00000042387
ENSRNOG00000015117,ENSDARG00000071465
ENSRNOG00000007663,ENSDARG00000019778
ENSRNOG00000015895,ENSDARG00000037815
ENSRNOG00000014838,ENSDARG00000016837
ENSRNOG00000017130,ENSDARG00000002194
ENSRNOG00000018940,ENSDARG00000060879
ENSRNOG00000021041,ENSDARG00000075249
ENSRNOG00000021041,ENSDARG00000079656
ENSRNOG00000039954,ENSDARG00000089750
ENSRNOG00000039954,ENSDARG00000087651
ENSRNOG00000039954,ENSDARG00000007836
ENSRNOG00000039954,ENSDARG00000039173
ENSRNOG00000039954,ENSDARG00000095254
ENSRNOG00000039954,ENSDARG00000095072
ENSRNOG00000039954,ENSDARG00000089806
ENSRNOG00000039954,ENSDARG00000074306
ENSRNOG00000039954,ENSDARG00000095744
ENSRNOG00000039954,ENSDARG00000079376
ENSRNOG00000039954,ENSDARG00000100833
ENSRNOG00000039954,ENSDARG00000075527
ENSRNOG00000039954,ENSDARG00000011701
ENSRNOG00000039954,ENSDARG00000094559
ENSRNOG00000007493,ENSDARG00000013933
ENSRNOG00000006998,ENSDARG00000056653
ENSRNOG00000006998,ENSDARG00000071498
ENSRNOG00000017737,ENSDARG00000014439
ENSRNOG00000017737,ENSDARG00000076025
ENSRNOG00000012965,ENSDARG00000058964
ENSRNOG00000031440,ENSDARG00000017673
ENSRNOG00000031440,ENSDARG00000020178
ENSRNOG00000025100,ENSDARG00000070606
ENSRNOG00000014658,ENSDARG00000059707
ENSRNOG00000014658,ENSDARG00000095732
ENSRNOG00000001243,ENSDARG00000034982
ENSRNOG00000010805,ENSDARG00000101481
ENSRNOG00000010805,ENSDARG00000091906
ENSRNOG00000010805,ENSDARG00000055893
ENSRNOG00000004632,ENSDARG00000076978
ENSRNOG00000004632,ENSDARG00000073959
ENSRNOG00000048130,ENSDARG00000029075
ENSRNOG00000048130,ENSDARG00000055540
ENSRNOG00000035521,ENSDARG00000082677
ENSRNOG00000015290,ENSDARG00000040988
ENSRNOG00000005362,ENSDARG00000101908
ENSRNOG00000018385,ENSDARG00000037292
ENSRNOG00000032570,ENSDARG00000014402
ENSRNOG00000009233,ENSDARG00000023508
ENSRNOG00000003956,ENSDARG00000111170
ENSRNOG00000004127,ENSDARG00000006128
ENSRNOG00000051970,ENSDARG00000058678
ENSRNOG00000051970,ENSDARG00000007086
ENSRNOG00000031331,ENSDARG00000076574
ENSRNOG00000031331,ENSDARG00000036728
ENSRNOG00000031331,ENSDARG00000019093
ENSRNOG00000031331,ENSDARG00000063111
ENSRNOG00000031331,ENSDARG00000058547
ENSRNOG00000012514,ENSDARG00000035571
ENSRNOG00000057819,ENSDARG00000115154
ENSRNOG00000057819,ENSDARG00000116175
ENSRNOG00000057819,ENSDARG00000116097
ENSRNOG00000057819,ENSDARG00000111586
ENSRNOG00000020412,ENSDARG00000018049
ENSRNOG00000006126,ENSDARG00000003235
ENSRNOG00000024535,ENSDARG00000094380
ENSRNOG00000019232,ENSDARG00000041372
ENSRNOG00000011747,ENSDARG00000100677
ENSRNOG00000032542,ENSDARG00000041232
ENSRNOG00000008467,ENSDARG00000079983
ENSRNOG00000012204,ENSDARG00000035660
ENSRNOG00000048800,ENSDARG00000025032
ENSRNOG00000008898,ENSDARG00000033957
ENSRNOG00000031956,ENSDARG00000087805
ENSRNOG00000042758,ENSDARG00000042214
ENSRNOG00000042758,ENSDARG00000033179
ENSRNOG00000003905,ENSDARG00000038991
ENSRNOG00000003905,ENSDARG00000007654
ENSRNOG00000024470,ENSDARG00000069980
ENSRNOG00000020907,ENSDARG00000079034
ENSRNOG00000001157,ENSDARG00000068923
ENSRNOG00000004968,ENSDARG00000060023
ENSRNOG00000027836,ENSDARG00000063129
ENSRNOG00000013133,ENSDARG00000003411
ENSRNOG00000058670,ENSDARG00000079834
ENSRNOG00000058670,ENSDARG00000101878
ENSRNOG00000059765,ENSDARG00000008329
ENSRNOG00000052880,ENSDARG00000028306
ENSRNOG00000004509,ENSDARG00000017272
ENSRNOG00000032454,ENSDARG00000036875
ENSRNOG00000015670,ENSDARG00000069208
ENSRNOG00000006761,ENSDARG00000023600
ENSRNOG00000006761,ENSDARG00000039901
ENSRNOG00000014970,ENSDARG00000055238
ENSRNOG00000018205,ENSDARG00000062418
ENSRNOG00000050188,ENSDARG00000099260
ENSRNOG00000051372,ENSDARG00000006837
ENSRNOG00000025857,ENSDARG00000090552
ENSRNOG00000025857,ENSDARG00000092593
ENSRNOG00000025857,ENSDARG00000093512
ENSRNOG00000025857,ENSDARG00000028659
ENSRNOG00000025857,ENSDARG00000094643
ENSRNOG00000025857,ENSDARG00000116378
ENSRNOG00000025857,ENSDARG00000054898
ENSRNOG00000025857,ENSDARG00000094854
ENSRNOG00000025857,ENSDARG00000043802
ENSRNOG00000025857,ENSDARG00000043796
ENSRNOG00000025857,ENSDARG00000007018
ENSRNOG00000025857,ENSDARG00000092204
ENSRNOG00000025857,ENSDARG00000095695
ENSRNOG00000025857,ENSDARG00000105674
ENSRNOG00000025857,ENSDARG00000093546
ENSRNOG00000025857,ENSDARG00000097527
ENSRNOG00000025857,ENSDARG00000043798
ENSRNOG00000025857,ENSDARG00000091970
ENSRNOG00000025857,ENSDARG00000014024
ENSRNOG00000025857,ENSDARG00000053563
ENSRNOG00000025857,ENSDARG00000094809
ENSRNOG00000025857,ENSDARG00000020548
ENSRNOG00000025857,ENSDARG00000098387
ENSRNOG00000025857,ENSDARG00000026616
ENSRNOG00000033473,ENSDARG00000100588
ENSRNOG00000054725,ENSDARG00000069538
ENSRNOG00000007979,ENSDARG00000102202
ENSRNOG00000010607,ENSDARG00000078056
ENSRNOG00000009324,ENSDARG00000010248
ENSRNOG00000047396,ENSDARG00000043359
ENSRNOG00000005015,ENSDARG00000059600
ENSRNOG00000017869,ENSDARG00000056407
ENSRNOG00000027096,ENSDARG00000061231
ENSRNOG00000027096,ENSDARG00000036940
ENSRNOG00000027096,ENSDARG00000003902
ENSRNOG00000027096,ENSDARG00000101051
ENSRNOG00000009712,ENSDARG00000002401
ENSRNOG00000008156,ENSDARG00000107511
ENSRNOG00000043102,ENSDARG00000080009
ENSRNOG00000043102,ENSDARG00000103739
ENSRNOG00000010078,ENSDARG00000001557
ENSRNOG00000012767,ENSDARG00000078599
ENSRNOG00000012767,ENSDARG00000074255
ENSRNOG00000046330,ENSDARG00000089767
ENSRNOG00000007127,ENSDARG00000039827
ENSRNOG00000008989,ENSDARG00000003675
ENSRNOG00000025843,ENSDARG00000003872
ENSRNOG00000032446,ENSDARG00000077516
ENSRNOG00000056904,ENSDARG00000004574
ENSRNOG00000002291,ENSDARG00000035540
ENSRNOG00000048320,ENSDARG00000042777
ENSRNOG00000005184,ENSDARG00000104227
ENSRNOG00000029995,ENSDARG00000021033
ENSRNOG00000013167,ENSDARG00000029722
ENSRNOG00000003548,ENSDARG00000104011
ENSRNOG00000012648,ENSDARG00000110496
ENSRNOG00000014683,ENSDARG00000088672
ENSRNOG00000011875,ENSDARG00000056196
ENSRNOG00000004595,ENSDARG00000011570
ENSRNOG00000015321,ENSDARG00000031136
ENSRNOG00000001222,ENSDARG00000025404
ENSRNOG00000025624,ENSDARG00000089326
ENSRNOG00000008841,ENSDARG00000039217
ENSRNOG00000015059,ENSDARG00000039757
ENSRNOG00000003786,ENSDARG00000015759
ENSRNOG00000021712,ENSDARG00000036645
ENSRNOG00000031993,ENSDARG00000040163
ENSRNOG00000000585,ENSDARG00000043856
ENSRNOG00000014481,ENSDARG00000086114
ENSRNOG00000018069,ENSDARG00000045372
ENSRNOG00000045860,ENSDARG00000015325
ENSRNOG00000043056,ENSDARG00000076574
ENSRNOG00000043056,ENSDARG00000036728
ENSRNOG00000043056,ENSDARG00000019093
ENSRNOG00000043056,ENSDARG00000063111
ENSRNOG00000043056,ENSDARG00000058547
ENSRNOG00000053486,ENSDARG00000059455
ENSRNOG00000028826,ENSDARG00000019230
ENSRNOG00000008960,ENSDARG00000076510
ENSRNOG00000012347,ENSDARG00000059327
ENSRNOG00000025174,ENSDARG00000018907
ENSRNOG00000017956,ENSDARG00000057676
ENSRNOG00000004222,ENSDARG00000055589
ENSRNOG00000004222,ENSDARG00000036773
ENSRNOG00000004222,ENSDARG00000037425
ENSRNOG00000022354,ENSDARG00000074565
ENSRNOG00000012720,ENSDARG00000036051
ENSRNOG00000012720,ENSDARG00000035648
ENSRNOG00000049869,ENSDARG00000001817
ENSRNOG00000049869,ENSDARG00000035697
ENSRNOG00000049869,ENSDARG00000058949
ENSRNOG00000003098,ENSDARG00000039966
ENSRNOG00000003098,ENSDARG00000034007
ENSRNOG00000038212,ENSDARG00000015863
ENSRNOG00000038212,ENSDARG00000058565
ENSRNOG00000023320,ENSDARG00000052027
ENSRNOG00000024671,ENSDARG00000098599
ENSRNOG00000015877,ENSDARG00000087166
ENSRNOG00000011070,ENSDARG00000019278
ENSRNOG00000011070,ENSDARG00000115383
ENSRNOG00000032078,ENSDARG00000042409
ENSRNOG00000014019,ENSDARG00000029581
ENSRNOG00000018651,ENSDARG00000105214
ENSRNOG00000039241,ENSDARG00000103525
ENSRNOG00000053081,ENSDARG00000101720
ENSRNOG00000018755,ENSDARG00000037781
ENSRNOG00000047443,ENSDARG00000013307
ENSRNOG00000045965,ENSDARG00000060007
ENSRNOG00000031915,ENSDARG00000086458
ENSRNOG00000050158,ENSDARG00000053636
ENSRNOG00000060325,ENSDARG00000044059
ENSRNOG00000060325,ENSDARG00000019920
ENSRNOG00000012163,ENSDARG00000078850
ENSRNOG00000009474,ENSDARG00000037928
ENSRNOG00000056897,ENSDARG00000042409
ENSRNOG00000012168,ENSDARG00000037738
ENSRNOG00000061101,ENSDARG00000070535
ENSRNOG00000033024,ENSDARG00000053365
ENSRNOG00000001681,ENSDARG00000075650
ENSRNOG00000053769,ENSDARG00000059824
ENSRNOG00000011624,ENSDARG00000075307
ENSRNOG00000011624,ENSDARG00000091130
ENSRNOG00000012757,ENSDARG00000058869
ENSRNOG00000005062,ENSDARG00000035324
ENSRNOG00000005062,ENSDARG00000059303
ENSRNOG00000038832,ENSDARG00000099973
ENSRNOG00000028274,ENSDARG00000078676
ENSRNOG00000025302,ENSDARG00000068759
ENSRNOG00000038259,ENSDARG00000013938
ENSRNOG00000011784,ENSDARG00000078479
ENSRNOG00000012645,ENSDARG00000060808
ENSRNOG00000061004,ENSDARG00000059629
ENSRNOG00000022863,ENSDARG00000061970
ENSRNOG00000022863,ENSDARG00000067815
ENSRNOG00000022863,ENSDARG00000073747
ENSRNOG00000022863,ENSDARG00000069270
ENSRNOG00000022863,ENSDARG00000045811
ENSRNOG00000022863,ENSDARG00000088002
ENSRNOG00000013967,ENSDARG00000090607
ENSRNOG00000013967,ENSDARG00000042722
ENSRNOG00000031864,ENSDARG00000035400
ENSRNOG00000025528,ENSDARG00000005163
ENSRNOG00000002488,ENSDARG00000100453
ENSRNOG00000055756,ENSDARG00000044972
ENSRNOG00000049959,ENSDARG00000031049
ENSRNOG00000049959,ENSDARG00000056084
ENSRNOG00000052386,ENSDARG00000073724
ENSRNOG00000018129,ENSDARG00000058463
ENSRNOG00000018129,ENSDARG00000014915
ENSRNOG00000031593,ENSDARG00000068255
ENSRNOG00000006019,ENSDARG00000078859
ENSRNOG00000008749,ENSDARG00000012593
ENSRNOG00000002144,ENSDARG00000043019
ENSRNOG00000019798,ENSDARG00000045228
ENSRNOG00000019943,ENSDARG00000054423
ENSRNOG00000023452,ENSDARG00000098029
ENSRNOG00000002710,ENSDARG00000086283
ENSRNOG00000002710,ENSDARG00000042759
ENSRNOG00000003865,ENSDARG00000007040
ENSRNOG00000014996,ENSDARG00000021827
ENSRNOG00000003526,ENSDARG00000102433
ENSRNOG00000025318,ENSDARG00000027046
ENSRNOG00000027341,ENSDARG00000037122
ENSRNOG00000027341,ENSDARG00000011171
ENSRNOG00000026742,ENSDARG00000088929
ENSRNOG00000018397,ENSDARG00000075730
ENSRNOG00000047894,ENSDARG00000007108
ENSRNOG00000031061,ENSDARG00000103433
ENSRNOG00000051006,ENSDARG00000061610
ENSRNOG00000047453,ENSDARG00000023900
ENSRNOG00000055936,ENSDARG00000100722
ENSRNOG00000049893,ENSDARG00000062828
ENSRNOG00000049893,ENSDARG00000092249
ENSRNOG00000049893,ENSDARG00000070774
ENSRNOG00000049893,ENSDARG00000062820
ENSRNOG00000007801,ENSDARG00000102610
ENSRNOG00000015736,ENSDARG00000044803
ENSRNOG00000015736,ENSDARG00000044982
ENSRNOG00000010917,ENSDARG00000101701
ENSRNOG00000014044,ENSDARG00000098453
ENSRNOG00000005981,ENSDARG00000058597
ENSRNOG00000011348,ENSDARG00000006332
ENSRNOG00000024954,ENSDARG00000115505
ENSRNOG00000011912,ENSDARG00000024047
ENSRNOG00000003999,ENSDARG00000077145
ENSRNOG00000003999,ENSDARG00000017437
ENSRNOG00000029038,ENSDARG00000053496
ENSRNOG00000018988,ENSDARG00000068175
ENSRNOG00000018988,ENSDARG00000022413
ENSRNOG00000005776,ENSDARG00000062510
ENSRNOG00000050494,ENSDARG00000093687
ENSRNOG00000030776,ENSDARG00000061956
ENSRNOG00000026754,ENSDARG00000102645
ENSRNOG00000056836,ENSDARG00000103747
ENSRNOG00000011617,ENSDARG00000075395
ENSRNOG00000020689,ENSDARG00000060103
ENSRNOG00000021102,ENSDARG00000105003
ENSRNOG00000021102,ENSDARG00000070170
ENSRNOG00000021102,ENSDARG00000060222
ENSRNOG00000010461,ENSDARG00000013302
ENSRNOG00000002358,ENSDARG00000040072
ENSRNOG00000016831,ENSDARG00000075954
ENSRNOG00000016831,ENSDARG00000019949
ENSRNOG00000008484,ENSDARG00000009480
ENSRNOG00000010482,ENSDARG00000003517
ENSRNOG00000010628,ENSDARG00000054807
ENSRNOG00000016265,ENSDARG00000075931
ENSRNOG00000006293,ENSDARG00000004843
ENSRNOG00000006293,ENSDARG00000014181
ENSRNOG00000000583,ENSDARG00000043858
ENSRNOG00000012616,ENSDARG00000039980
ENSRNOG00000014276,ENSDARG00000087921
ENSRNOG00000014166,ENSDARG00000088157
ENSRNOG00000015541,ENSDARG00000002696
ENSRNOG00000015541,ENSDARG00000004358
ENSRNOG00000046905,ENSDARG00000012138
ENSRNOG00000053267,ENSDARG00000001817
ENSRNOG00000053267,ENSDARG00000035697
ENSRNOG00000053267,ENSDARG00000058949
ENSRNOG00000024009,ENSDARG00000087828
ENSRNOG00000054314,ENSDARG00000099038
ENSRNOG00000000303,ENSDARG00000002826
ENSRNOG00000006932,ENSDARG00000114649
ENSRNOG00000006932,ENSDARG00000108038
ENSRNOG00000006932,ENSDARG00000112944
ENSRNOG00000006932,ENSDARG00000114803
ENSRNOG00000006932,ENSDARG00000116994
ENSRNOG00000018132,ENSDARG00000077823
ENSRNOG00000008456,ENSDARG00000038290
ENSRNOG00000009397,ENSDARG00000069271
ENSRNOG00000020298,ENSDARG00000039486
ENSRNOG00000010798,ENSDARG00000102525
ENSRNOG00000046666,ENSDARG00000058968
ENSRNOG00000058153,ENSDARG00000076499
ENSRNOG00000058153,ENSDARG00000078615
ENSRNOG00000042547,ENSDARG00000025073
ENSRNOG00000004926,ENSDARG00000089236
ENSRNOG00000001183,ENSDARG00000009470
ENSRNOG00000015906,ENSDARG00000059337
ENSRNOG00000003853,ENSDARG00000002217
ENSRNOG00000018415,ENSDARG00000061728
ENSRNOG00000025536,ENSDARG00000053365
ENSRNOG00000030045,ENSDARG00000100588
ENSRNOG00000040101,ENSDARG00000093628
ENSRNOG00000005660,ENSDARG00000096989
ENSRNOG00000060175,ENSDARG00000091851
ENSRNOG00000012985,ENSDARG00000035043
ENSRNOG00000055889,ENSDARG00000100584
ENSRNOG00000007374,ENSDARG00000014490
ENSRNOG00000007374,ENSDARG00000096234
ENSRNOG00000030162,ENSDARG00000104011
