Gene stable ID,Rat gene stable ID
ENSMUSG00000029649,ENSRNOG00000049229
ENSMUSG00000029649,ENSRNOG00000048470
ENSMUSG00000052794,ENSRNOG00000023700
ENSMUSG00000038806,ENSRNOG00000003247
ENSMUSG00000066677,ENSRNOG00000042990
ENSMUSG00000021886,ENSRNOG00000003806
ENSMUSG00000041722,ENSRNOG00000028595
ENSMUSG00000020481,ENSRNOG00000056767
ENSMUSG00000000552,ENSRNOG00000036833
ENSMUSG00000050199,ENSRNOG00000005715
ENSMUSG00000045824,ENSRNOG00000048436
ENSMUSG00000075141,ENSRNOG00000005921
ENSMUSG00000006398,ENSRNOG00000028415
ENSMUSG00000045150,ENSRNOG00000046185
ENSMUSG00000053205,ENSRNOG00000007956
ENSMUSG00000060166,ENSRNOG00000021891
ENSMUSG00000026959,ENSRNOG00000011726
ENSMUSG00000017204,ENSRNOG00000007943
ENSMUSG00000026389,ENSRNOG00000049471
ENSMUSG00000075140,ENSRNOG00000049888
ENSMUSG00000091415,ENSRNOG00000037688
ENSMUSG00000029306,ENSRNOG00000002158
ENSMUSG00000060512,ENSRNOG00000002191
ENSMUSG00000007670,ENSRNOG00000047628
ENSMUSG00000028560,ENSRNOG00000007890
ENSMUSG00000038085,ENSRNOG00000019992
ENSMUSG00000075139,ENSRNOG00000047639
ENSMUSG00000075139,ENSRNOG00000050737
ENSMUSG00000047417,ENSRNOG00000017916
ENSMUSG00000006390,ENSRNOG00000028448
ENSMUSG00000048988,ENSRNOG00000022767
ENSMUSG00000075137,ENSRNOG00000047639
ENSMUSG00000075137,ENSRNOG00000050737
ENSMUSG00000057346,ENSRNOG00000023410
ENSMUSG00000002477,ENSRNOG00000013714
ENSMUSG00000075136,ENSRNOG00000005950
ENSMUSG00000050530,ENSRNOG00000016534
ENSMUSG00000015355,ENSRNOG00000004737
ENSMUSG00000023993,ENSRNOG00000040109
ENSMUSG00000043354,ENSRNOG00000015657
ENSMUSG00000032735,ENSRNOG00000019365
ENSMUSG00000073962,ENSRNOG00000034083
ENSMUSG00000073962,ENSRNOG00000015649
ENSMUSG00000029660,ENSRNOG00000000905
ENSMUSG00000046070,ENSRNOG00000015061
ENSMUSG00000029344,ENSRNOG00000000664
ENSMUSG00000041120,ENSRNOG00000049402
ENSMUSG00000030173,ENSRNOG00000061664
ENSMUSG00000030173,ENSRNOG00000062297
ENSMUSG00000030173,ENSRNOG00000051489
ENSMUSG00000030173,ENSRNOG00000057069
ENSMUSG00000030173,ENSRNOG00000058775
ENSMUSG00000030173,ENSRNOG00000060202
ENSMUSG00000030173,ENSRNOG00000048253
ENSMUSG00000021541,ENSRNOG00000012727
ENSMUSG00000020257,ENSRNOG00000048441
ENSMUSG00000085079,ENSRNOG00000028595
ENSMUSG00000046229,ENSRNOG00000019987
ENSMUSG00000045792,ENSRNOG00000015673
ENSMUSG00000037722,ENSRNOG00000008641
ENSMUSG00000059409,ENSRNOG00000016849
ENSMUSG00000013701,ENSRNOG00000019811
ENSMUSG00000032224,ENSRNOG00000057501
ENSMUSG00000053863,ENSRNOG00000002154
ENSMUSG00000018899,ENSRNOG00000008144
ENSMUSG00000018412,ENSRNOG00000053680
ENSMUSG00000079009,ENSRNOG00000036747
ENSMUSG00000026656,ENSRNOG00000046452
ENSMUSG00000020698,ENSRNOG00000007523
ENSMUSG00000032258,ENSRNOG00000009580
ENSMUSG00000047261,ENSRNOG00000001528
ENSMUSG00000061769,ENSRNOG00000061664
ENSMUSG00000061769,ENSRNOG00000062297
ENSMUSG00000061769,ENSRNOG00000051489
ENSMUSG00000061769,ENSRNOG00000057069
ENSMUSG00000061769,ENSRNOG00000058775
ENSMUSG00000061769,ENSRNOG00000060202
ENSMUSG00000061769,ENSRNOG00000048253
ENSMUSG00000000295,ENSRNOG00000021442
ENSMUSG00000079008,ENSRNOG00000036747
ENSMUSG00000030345,ENSRNOG00000053178
ENSMUSG00000063576,ENSRNOG00000017495
ENSMUSG00000033854,ENSRNOG00000003813
ENSMUSG00000066652,ENSRNOG00000060325
ENSMUSG00000079563,ENSRNOG00000042318
ENSMUSG00000059900,ENSRNOG00000010430
ENSMUSG00000029423,ENSRNOG00000000934
ENSMUSG00000073489,ENSRNOG00000003486
ENSMUSG00000028558,ENSRNOG00000037710
ENSMUSG00000052712,ENSRNOG00000000524
ENSMUSG00000071203,ENSRNOG00000033693
ENSMUSG00000022770,ENSRNOG00000038597
ENSMUSG00000028675,ENSRNOG00000009248
ENSMUSG00000063364,ENSRNOG00000050337
ENSMUSG00000063364,ENSRNOG00000050230
ENSMUSG00000063364,ENSRNOG00000046638
ENSMUSG00000063364,ENSRNOG00000050729
ENSMUSG00000022360,ENSRNOG00000025604
ENSMUSG00000095315,ENSRNOG00000036747
ENSMUSG00000017221,ENSRNOG00000028103
ENSMUSG00000024077,ENSRNOG00000004806
ENSMUSG00000033819,ENSRNOG00000015450
ENSMUSG00000026520,ENSRNOG00000003267
ENSMUSG00000062585,ENSRNOG00000009260
ENSMUSG00000026315,ENSRNOG00000002396
ENSMUSG00000060534,ENSRNOG00000033099
ENSMUSG00000050608,ENSRNOG00000042696
ENSMUSG00000002768,ENSRNOG00000017144
ENSMUSG00000030292,ENSRNOG00000026883
ENSMUSG00000025401,ENSRNOG00000004177
ENSMUSG00000054405,ENSRNOG00000013255
ENSMUSG00000027298,ENSRNOG00000058586
ENSMUSG00000067377,ENSRNOG00000003786
ENSMUSG00000046962,ENSRNOG00000001623
ENSMUSG00000056167,ENSRNOG00000052305
ENSMUSG00000049680,ENSRNOG00000012184
ENSMUSG00000047844,ENSRNOG00000060103
ENSMUSG00000036907,ENSRNOG00000046863
ENSMUSG00000020182,ENSRNOG00000004327
ENSMUSG00000052142,ENSRNOG00000006167
ENSMUSG00000038195,ENSRNOG00000003784
ENSMUSG00000031841,ENSRNOG00000014371
ENSMUSG00000051236,ENSRNOG00000042668
ENSMUSG00000063415,ENSRNOG00000015076
ENSMUSG00000013415,ENSRNOG00000006122
ENSMUSG00000032089,ENSRNOG00000016308
ENSMUSG00000034063,ENSRNOG00000022155
ENSMUSG00000045975,ENSRNOG00000001621
ENSMUSG00000019810,ENSRNOG00000015551
ENSMUSG00000039414,ENSRNOG00000025926
ENSMUSG00000026715,ENSRNOG00000002783
ENSMUSG00000039851,ENSRNOG00000028670
ENSMUSG00000025081,ENSRNOG00000017064
ENSMUSG00000047881,ENSRNOG00000002192
ENSMUSG00000038453,ENSRNOG00000011475
ENSMUSG00000017801,ENSRNOG00000019983
ENSMUSG00000061947,ENSRNOG00000048988
ENSMUSG00000061947,ENSRNOG00000050761
ENSMUSG00000068749,ENSRNOG00000019868
ENSMUSG00000026725,ENSRNOG00000002548
ENSMUSG00000025743,ENSRNOG00000011927
ENSMUSG00000040797,ENSRNOG00000014083
ENSMUSG00000004939,ENSRNOG00000042897
ENSMUSG00000034958,ENSRNOG00000020407
ENSMUSG00000050232,ENSRNOG00000003305
ENSMUSG00000064246,ENSRNOG00000053272
ENSMUSG00000092277,ENSRNOG00000058490
ENSMUSG00000051579,ENSRNOG00000028585
ENSMUSG00000079471,ENSRNOG00000042497
ENSMUSG00000092243,ENSRNOG00000029001
ENSMUSG00000020477,ENSRNOG00000011979
ENSMUSG00000038067,ENSRNOG00000008525
ENSMUSG00000036825,ENSRNOG00000015425
ENSMUSG00000025332,ENSRNOG00000057706
ENSMUSG00000045010,ENSRNOG00000025211
ENSMUSG00000027649,ENSRNOG00000012021
ENSMUSG00000079491,ENSRNOG00000029386
ENSMUSG00000079491,ENSRNOG00000000795
ENSMUSG00000043467,ENSRNOG00000026907
ENSMUSG00000043155,ENSRNOG00000018143
ENSMUSG00000047721,ENSRNOG00000047988
ENSMUSG00000059089,ENSRNOG00000024382
ENSMUSG00000050945,ENSRNOG00000028329
ENSMUSG00000020105,ENSRNOG00000007654
ENSMUSG00000019826,ENSRNOG00000000308
ENSMUSG00000046774,ENSRNOG00000025200
ENSMUSG00000054034,ENSRNOG00000046280
ENSMUSG00000079487,ENSRNOG00000003848
ENSMUSG00000021754,ENSRNOG00000013177
ENSMUSG00000021754,ENSRNOG00000050275
ENSMUSG00000030707,ENSRNOG00000019430
ENSMUSG00000028167,ENSRNOG00000014490
ENSMUSG00000026390,ENSRNOG00000049303
ENSMUSG00000020857,ENSRNOG00000002671
ENSMUSG00000029392,ENSRNOG00000001055
ENSMUSG00000050071,ENSRNOG00000033844
ENSMUSG00000020687,ENSRNOG00000005904
ENSMUSG00000036244,ENSRNOG00000008737
ENSMUSG00000073961,ENSRNOG00000015689
ENSMUSG00000043671,ENSRNOG00000021573
ENSMUSG00000006360,ENSRNOG00000027990
ENSMUSG00000079428,ENSRNOG00000037645
ENSMUSG00000060807,ENSRNOG00000009438
ENSMUSG00000090272,ENSRNOG00000003486
ENSMUSG00000028673,ENSRNOG00000009325
ENSMUSG00000027303,ENSRNOG00000021223
ENSMUSG00000009210,ENSRNOG00000060193
ENSMUSG00000047034,ENSRNOG00000049733
ENSMUSG00000020657,ENSRNOG00000003988
ENSMUSG00000094194,ENSRNOG00000050102
ENSMUSG00000094194,ENSRNOG00000056828
ENSMUSG00000094194,ENSRNOG00000054965
ENSMUSG00000094194,ENSRNOG00000049243
ENSMUSG00000094194,ENSRNOG00000056285
ENSMUSG00000094194,ENSRNOG00000048458
ENSMUSG00000094194,ENSRNOG00000031848
ENSMUSG00000094194,ENSRNOG00000051768
ENSMUSG00000094194,ENSRNOG00000056760
ENSMUSG00000094194,ENSRNOG00000053103
ENSMUSG00000094194,ENSRNOG00000058562
ENSMUSG00000094194,ENSRNOG00000055719
ENSMUSG00000094194,ENSRNOG00000050118
ENSMUSG00000094194,ENSRNOG00000050912
ENSMUSG00000094194,ENSRNOG00000058352
ENSMUSG00000094194,ENSRNOG00000051653
ENSMUSG00000094194,ENSRNOG00000053312
ENSMUSG00000094194,ENSRNOG00000059121
ENSMUSG00000094194,ENSRNOG00000055475
ENSMUSG00000094194,ENSRNOG00000047641
ENSMUSG00000094194,ENSRNOG00000056043
ENSMUSG00000037601,ENSRNOG00000002693
ENSMUSG00000026643,ENSRNOG00000026248
ENSMUSG00000001785,ENSRNOG00000005350
ENSMUSG00000027165,ENSRNOG00000037567
ENSMUSG00000039830,ENSRNOG00000028658
ENSMUSG00000031839,ENSRNOG00000014415
ENSMUSG00000038233,ENSRNOG00000025676
ENSMUSG00000009350,ENSRNOG00000008310
ENSMUSG00000073960,ENSRNOG00000050328
ENSMUSG00000073960,ENSRNOG00000048866
ENSMUSG00000073960,ENSRNOG00000045576
ENSMUSG00000021032,ENSRNOG00000011719
ENSMUSG00000029346,ENSRNOG00000000662
ENSMUSG00000046010,ENSRNOG00000007578
ENSMUSG00000026536,ENSRNOG00000003486
ENSMUSG00000079852,ENSRNOG00000053772
ENSMUSG00000073959,ENSRNOG00000015689
ENSMUSG00000046160,ENSRNOG00000028648
ENSMUSG00000020213,ENSRNOG00000026634
ENSMUSG00000050103,ENSRNOG00000023116
ENSMUSG00000051003,ENSRNOG00000039760
ENSMUSG00000078080,ENSRNOG00000050328
ENSMUSG00000078080,ENSRNOG00000048866
ENSMUSG00000078080,ENSRNOG00000045576
ENSMUSG00000068167,ENSRNOG00000021791
ENSMUSG00000035505,ENSRNOG00000003052
ENSMUSG00000037843,ENSRNOG00000034031
ENSMUSG00000058267,ENSRNOG00000002569
ENSMUSG00000068252,ENSRNOG00000052981
ENSMUSG00000068252,ENSRNOG00000046779
ENSMUSG00000068252,ENSRNOG00000047782
ENSMUSG00000066268,ENSRNOG00000047528
ENSMUSG00000015452,ENSRNOG00000000439
ENSMUSG00000068747,ENSRNOG00000031814
ENSMUSG00000040867,ENSRNOG00000004650
ENSMUSG00000003352,ENSRNOG00000054274
ENSMUSG00000027650,ENSRNOG00000012880
ENSMUSG00000029345,ENSRNOG00000000663
ENSMUSG00000020214,ENSRNOG00000049053
ENSMUSG00000075033,ENSRNOG00000001608
ENSMUSG00000019906,ENSRNOG00000004527
ENSMUSG00000048582,ENSRNOG00000008847
ENSMUSG00000028139,ENSRNOG00000037310
ENSMUSG00000025436,ENSRNOG00000045629
ENSMUSG00000071179,ENSRNOG00000026297
ENSMUSG00000034037,ENSRNOG00000010213
ENSMUSG00000019303,ENSRNOG00000020022
ENSMUSG00000000673,ENSRNOG00000031263
ENSMUSG00000059772,ENSRNOG00000019369
ENSMUSG00000042429,ENSRNOG00000003442
ENSMUSG00000096481,ENSRNOG00000042329
ENSMUSG00000096481,ENSRNOG00000042797
ENSMUSG00000096481,ENSRNOG00000001218
ENSMUSG00000096481,ENSRNOG00000047532
ENSMUSG00000096481,ENSRNOG00000032530
ENSMUSG00000096481,ENSRNOG00000043302
ENSMUSG00000096481,ENSRNOG00000046538
ENSMUSG00000096481,ENSRNOG00000060674
ENSMUSG00000095817,ENSRNOG00000042329
ENSMUSG00000095817,ENSRNOG00000042797
ENSMUSG00000095817,ENSRNOG00000001218
ENSMUSG00000095817,ENSRNOG00000047532
ENSMUSG00000095817,ENSRNOG00000032530
ENSMUSG00000095817,ENSRNOG00000043302
ENSMUSG00000095817,ENSRNOG00000046538
ENSMUSG00000095817,ENSRNOG00000060674
ENSMUSG00000028137,ENSRNOG00000020875
ENSMUSG00000060131,ENSRNOG00000031598
ENSMUSG00000019996,ENSRNOG00000012701
ENSMUSG00000071195,ENSRNOG00000042329
ENSMUSG00000071195,ENSRNOG00000042797
ENSMUSG00000071195,ENSRNOG00000001218
ENSMUSG00000071195,ENSRNOG00000047532
ENSMUSG00000071195,ENSRNOG00000032530
ENSMUSG00000071195,ENSRNOG00000043302
ENSMUSG00000071195,ENSRNOG00000046538
ENSMUSG00000071195,ENSRNOG00000060674
ENSMUSG00000015316,ENSRNOG00000059073
ENSMUSG00000030111,ENSRNOG00000028896
ENSMUSG00000030111,ENSRNOG00000045772
ENSMUSG00000069581,ENSRNOG00000001219
ENSMUSG00000037548,ENSRNOG00000049491
ENSMUSG00000037548,ENSRNOG00000051002
ENSMUSG00000037466,ENSRNOG00000005153
ENSMUSG00000042451,ENSRNOG00000003336
ENSMUSG00000039262,ENSRNOG00000010217
ENSMUSG00000026442,ENSRNOG00000030515
ENSMUSG00000001029,ENSRNOG00000025143
ENSMUSG00000050668,ENSRNOG00000025317
ENSMUSG00000026991,ENSRNOG00000005504
ENSMUSG00000074731,ENSRNOG00000036747
ENSMUSG00000096131,ENSRNOG00000042329
ENSMUSG00000096131,ENSRNOG00000042797
ENSMUSG00000096131,ENSRNOG00000001218
ENSMUSG00000096131,ENSRNOG00000047532
ENSMUSG00000096131,ENSRNOG00000032530
ENSMUSG00000096131,ENSRNOG00000043302
ENSMUSG00000096131,ENSRNOG00000046538
ENSMUSG00000096131,ENSRNOG00000060674
ENSMUSG00000001366,ENSRNOG00000008214
ENSMUSG00000112600,ENSRNOG00000042329
ENSMUSG00000112600,ENSRNOG00000042797
ENSMUSG00000112600,ENSRNOG00000001218
ENSMUSG00000112600,ENSRNOG00000047532
ENSMUSG00000112600,ENSRNOG00000032530
ENSMUSG00000112600,ENSRNOG00000043302
ENSMUSG00000112600,ENSRNOG00000046538
ENSMUSG00000112600,ENSRNOG00000060674
ENSMUSG00000021081,ENSRNOG00000037762
ENSMUSG00000068129,ENSRNOG00000006767
ENSMUSG00000112653,ENSRNOG00000042383
ENSMUSG00000000435,ENSRNOG00000004768
ENSMUSG00000112170,ENSRNOG00000042329
ENSMUSG00000112170,ENSRNOG00000042797
ENSMUSG00000112170,ENSRNOG00000001218
ENSMUSG00000112170,ENSRNOG00000047532
ENSMUSG00000112170,ENSRNOG00000032530
ENSMUSG00000112170,ENSRNOG00000043302
ENSMUSG00000112170,ENSRNOG00000046538
ENSMUSG00000112170,ENSRNOG00000060674
ENSMUSG00000095970,ENSRNOG00000042329
ENSMUSG00000095970,ENSRNOG00000042797
ENSMUSG00000095970,ENSRNOG00000001218
ENSMUSG00000095970,ENSRNOG00000047532
ENSMUSG00000095970,ENSRNOG00000032530
ENSMUSG00000095970,ENSRNOG00000043302
ENSMUSG00000095970,ENSRNOG00000046538
ENSMUSG00000095970,ENSRNOG00000060674
ENSMUSG00000094120,ENSRNOG00000042329
ENSMUSG00000094120,ENSRNOG00000042797
ENSMUSG00000094120,ENSRNOG00000001218
ENSMUSG00000094120,ENSRNOG00000047532
ENSMUSG00000094120,ENSRNOG00000032530
ENSMUSG00000094120,ENSRNOG00000043302
ENSMUSG00000094120,ENSRNOG00000046538
ENSMUSG00000094120,ENSRNOG00000060674
ENSMUSG00000020598,ENSRNOG00000004067
ENSMUSG00000029650,ENSRNOG00000000937
ENSMUSG00000070345,ENSRNOG00000056793
ENSMUSG00000112864,ENSRNOG00000042329
ENSMUSG00000112864,ENSRNOG00000042797
ENSMUSG00000112864,ENSRNOG00000001218
ENSMUSG00000112864,ENSRNOG00000047532
ENSMUSG00000112864,ENSRNOG00000032530
ENSMUSG00000112864,ENSRNOG00000043302
ENSMUSG00000112864,ENSRNOG00000046538
ENSMUSG00000112864,ENSRNOG00000060674
ENSMUSG00000038147,ENSRNOG00000022884
ENSMUSG00000038793,ENSRNOG00000003263
ENSMUSG00000094012,ENSRNOG00000042956
ENSMUSG00000020715,ENSRNOG00000012864
ENSMUSG00000094913,ENSRNOG00000042329
ENSMUSG00000094913,ENSRNOG00000042797
ENSMUSG00000094913,ENSRNOG00000001218
ENSMUSG00000094913,ENSRNOG00000047532
ENSMUSG00000094913,ENSRNOG00000032530
ENSMUSG00000094913,ENSRNOG00000043302
ENSMUSG00000094913,ENSRNOG00000046538
ENSMUSG00000094913,ENSRNOG00000060674
ENSMUSG00000061086,ENSRNOG00000050675
ENSMUSG00000095721,ENSRNOG00000042329
ENSMUSG00000095721,ENSRNOG00000042797
ENSMUSG00000095721,ENSRNOG00000001218
ENSMUSG00000095721,ENSRNOG00000047532
ENSMUSG00000095721,ENSRNOG00000032530
ENSMUSG00000095721,ENSRNOG00000043302
ENSMUSG00000095721,ENSRNOG00000046538
ENSMUSG00000095721,ENSRNOG00000060674
ENSMUSG00000112380,ENSRNOG00000042329
ENSMUSG00000112380,ENSRNOG00000042797
ENSMUSG00000112380,ENSRNOG00000001218
ENSMUSG00000112380,ENSRNOG00000047532
ENSMUSG00000112380,ENSRNOG00000032530
ENSMUSG00000112380,ENSRNOG00000043302
ENSMUSG00000112380,ENSRNOG00000046538
ENSMUSG00000112380,ENSRNOG00000060674
ENSMUSG00000096380,ENSRNOG00000042329
ENSMUSG00000096380,ENSRNOG00000042797
ENSMUSG00000096380,ENSRNOG00000001218
ENSMUSG00000096380,ENSRNOG00000047532
ENSMUSG00000096380,ENSRNOG00000032530
ENSMUSG00000096380,ENSRNOG00000043302
ENSMUSG00000096380,ENSRNOG00000046538
ENSMUSG00000096380,ENSRNOG00000060674
ENSMUSG00000096638,ENSRNOG00000056689
ENSMUSG00000096638,ENSRNOG00000045984
ENSMUSG00000096638,ENSRNOG00000059953
ENSMUSG00000096638,ENSRNOG00000054688
ENSMUSG00000096638,ENSRNOG00000055807
ENSMUSG00000096638,ENSRNOG00000052050
ENSMUSG00000032384,ENSRNOG00000016620
ENSMUSG00000025400,ENSRNOG00000004229
ENSMUSG00000061311,ENSRNOG00000004630
ENSMUSG00000033268,ENSRNOG00000033348
ENSMUSG00000096421,ENSRNOG00000001220
ENSMUSG00000096421,ENSRNOG00000058151
ENSMUSG00000096421,ENSRNOG00000046323
ENSMUSG00000076665,ENSRNOG00000042996
ENSMUSG00000076665,ENSRNOG00000059929
ENSMUSG00000076665,ENSRNOG00000032671
ENSMUSG00000095593,ENSRNOG00000042329
ENSMUSG00000095593,ENSRNOG00000042797
ENSMUSG00000095593,ENSRNOG00000001218
ENSMUSG00000095593,ENSRNOG00000047532
ENSMUSG00000095593,ENSRNOG00000032530
ENSMUSG00000095593,ENSRNOG00000043302
ENSMUSG00000095593,ENSRNOG00000046538
ENSMUSG00000095593,ENSRNOG00000060674
ENSMUSG00000059920,ENSRNOG00000000720
ENSMUSG00000032864,ENSRNOG00000004623
ENSMUSG00000022964,ENSRNOG00000002028
ENSMUSG00000023994,ENSRNOG00000012702
ENSMUSG00000024477,ENSRNOG00000003541
ENSMUSG00000047141,ENSRNOG00000029956
ENSMUSG00000058665,ENSRNOG00000056580
ENSMUSG00000054604,ENSRNOG00000000718
ENSMUSG00000015314,ENSRNOG00000038286
ENSMUSG00000037791,ENSRNOG00000009566
ENSMUSG00000026312,ENSRNOG00000032490
ENSMUSG00000110206,ENSRNOG00000056212
ENSMUSG00000037253,ENSRNOG00000015777
ENSMUSG00000076653,ENSRNOG00000033376
ENSMUSG00000076653,ENSRNOG00000058824
ENSMUSG00000079547,ENSRNOG00000049491
ENSMUSG00000079547,ENSRNOG00000051002
ENSMUSG00000033096,ENSRNOG00000006795
ENSMUSG00000094509,ENSRNOG00000042197
ENSMUSG00000038188,ENSRNOG00000059618
ENSMUSG00000037740,ENSRNOG00000021224
ENSMUSG00000035923,ENSRNOG00000004878
ENSMUSG00000030346,ENSRNOG00000059878
ENSMUSG00000014226,ENSRNOG00000002572
ENSMUSG00000044617,ENSRNOG00000004306
ENSMUSG00000021536,ENSRNOG00000032150
ENSMUSG00000058396,ENSRNOG00000004311
ENSMUSG00000035864,ENSRNOG00000006426
ENSMUSG00000043439,ENSRNOG00000048187
ENSMUSG00000011486,ENSRNOG00000048853
ENSMUSG00000058626,ENSRNOG00000026025
ENSMUSG00000089727,ENSRNOG00000061664
ENSMUSG00000089727,ENSRNOG00000062297
ENSMUSG00000089727,ENSRNOG00000051489
ENSMUSG00000089727,ENSRNOG00000057069
ENSMUSG00000089727,ENSRNOG00000058775
ENSMUSG00000089727,ENSRNOG00000060202
ENSMUSG00000089727,ENSRNOG00000048253
ENSMUSG00000033849,ENSRNOG00000003251
ENSMUSG00000035397,ENSRNOG00000033694
ENSMUSG00000048661,ENSRNOG00000024027
ENSMUSG00000112611,ENSRNOG00000026634
ENSMUSG00000026361,ENSRNOG00000003258
ENSMUSG00000032435,ENSRNOG00000010434
ENSMUSG00000024251,ENSRNOG00000025899
