Gene stable ID,Mouse gene stable ID
ENSDARG00000093521,ENSMUSG00000031803
ENSDARG00000045443,ENSMUSG00000054988
ENSDARG00000045443,ENSMUSG00000049115
ENSDARG00000019293,ENSMUSG00000038482
ENSDARG00000101085,ENSMUSG00000032526
ENSDARG00000007250,ENSMUSG00000002395
ENSDARG00000011449,ENSMUSG00000053158
ENSDARG00000099200,ENSMUSG00000083282
ENSDARG00000044753,ENSMUSG00000027406
ENSDARG00000006560,ENSMUSG00000021356
ENSDARG00000074302,ENSMUSG00000051212
ENSDARG00000061371,ENSMUSG00000040420
ENSDARG00000063574,ENSMUSG00000039069
ENSDARG00000086471,ENSMUSG00000035268
ENSDARG00000002377,ENSMUSG00000018599
ENSDARG00000052129,ENSMUSG00000026278
ENSDARG00000098029,ENSMUSG00000070577
ENSDARG00000059773,ENSMUSG00000038453
ENSDARG00000077253,ENSMUSG00000042831
ENSDARG00000100694,ENSMUSG00000026414
ENSDARG00000093799,ENSMUSG00000024548
ENSDARG00000052851,ENSMUSG00000022200
ENSDARG00000009844,ENSMUSG00000026544
ENSDARG00000018871,ENSMUSG00000045662
ENSDARG00000102608,ENSMUSG00000062198
ENSDARG00000003818,ENSMUSG00000067713
ENSDARG00000038615,ENSMUSG00000035953
ENSDARG00000034734,ENSMUSG00000002679
ENSDARG00000021913,ENSMUSG00000091415
ENSDARG00000105120,ENSMUSG00000004508
ENSDARG00000102929,ENSMUSG00000054676
ENSDARG00000073688,ENSMUSG00000052512
ENSDARG00000027141,ENSMUSG00000038965
ENSDARG00000052142,ENSMUSG00000000532
ENSDARG00000039218,ENSMUSG00000036357
ENSDARG00000010717,ENSMUSG00000049422
ENSDARG00000020449,ENSMUSG00000071074
ENSDARG00000044015,ENSMUSG00000022103
ENSDARG00000003206,ENSMUSG00000030086
ENSDARG00000078686,ENSMUSG00000026426
ENSDARG00000044318,ENSMUSG00000001281
ENSDARG00000076025,ENSMUSG00000040479
ENSDARG00000009253,ENSMUSG00000021807
ENSDARG00000062549,ENSMUSG00000026348
ENSDARG00000037555,ENSMUSG00000037621
ENSDARG00000038976,ENSMUSG00000041837
ENSDARG00000039349,ENSMUSG00000058400
ENSDARG00000039349,ENSMUSG00000029917
ENSDARG00000036588,ENSMUSG00000037053
ENSDARG00000036588,ENSMUSG00000078452
ENSDARG00000036588,ENSMUSG00000006611
ENSDARG00000036588,ENSMUSG00000054005
ENSDARG00000036588,ENSMUSG00000053219
ENSDARG00000036588,ENSMUSG00000079685
ENSDARG00000036588,ENSMUSG00000040987
ENSDARG00000098257,ENSMUSG00000052613
ENSDARG00000078717,ENSMUSG00000026768
ENSDARG00000024219,ENSMUSG00000039298
ENSDARG00000102612,ENSMUSG00000029416
ENSDARG00000075818,ENSMUSG00000022102
ENSDARG00000063006,ENSMUSG00000069806
ENSDARG00000024771,ENSMUSG00000035183
ENSDARG00000052846,ENSMUSG00000021765
ENSDARG00000092855,ENSMUSG00000024135
ENSDARG00000014024,ENSMUSG00000024680
ENSDARG00000014024,ENSMUSG00000024681
ENSDARG00000014024,ENSMUSG00000099398
ENSDARG00000014024,ENSMUSG00000024729
ENSDARG00000014024,ENSMUSG00000067571
ENSDARG00000014024,ENSMUSG00000054523
ENSDARG00000014024,ENSMUSG00000057240
ENSDARG00000014024,ENSMUSG00000094584
ENSDARG00000014024,ENSMUSG00000024728
ENSDARG00000014024,ENSMUSG00000024679
ENSDARG00000014024,ENSMUSG00000024677
ENSDARG00000014024,ENSMUSG00000079419
ENSDARG00000014024,ENSMUSG00000024673
ENSDARG00000014024,ENSMUSG00000024672
ENSDARG00000014024,ENSMUSG00000024731
ENSDARG00000100531,ENSMUSG00000042073
ENSDARG00000089750,ENSMUSG00000050345
ENSDARG00000089750,ENSMUSG00000021440
ENSDARG00000089750,ENSMUSG00000055298
ENSDARG00000089750,ENSMUSG00000114432
ENSDARG00000089750,ENSMUSG00000074874
ENSDARG00000089750,ENSMUSG00000114904
ENSDARG00000089750,ENSMUSG00000044258
ENSDARG00000089750,ENSMUSG00000042243
ENSDARG00000089750,ENSMUSG00000114635
ENSDARG00000089750,ENSMUSG00000056728
ENSDARG00000089750,ENSMUSG00000021477
ENSDARG00000089750,ENSMUSG00000021441
ENSDARG00000089750,ENSMUSG00000021439
ENSDARG00000089750,ENSMUSG00000074870
ENSDARG00000089750,ENSMUSG00000055679
ENSDARG00000089750,ENSMUSG00000057446
ENSDARG00000089750,ENSMUSG00000074871
ENSDARG00000078529,ENSMUSG00000034730
ENSDARG00000091169,ENSMUSG00000059555
ENSDARG00000052010,ENSMUSG00000031879
ENSDARG00000098075,ENSMUSG00000028843
ENSDARG00000069595,ENSMUSG00000064125
ENSDARG00000045070,ENSMUSG00000020689
ENSDARG00000055901,ENSMUSG00000012428
ENSDARG00000023111,ENSMUSG00000059481
ENSDARG00000020197,ENSMUSG00000058558
ENSDARG00000040930,ENSMUSG00000022419
ENSDARG00000099685,ENSMUSG00000032192
ENSDARG00000051729,ENSMUSG00000031902
ENSDARG00000077778,ENSMUSG00000030022
ENSDARG00000057227,ENSMUSG00000036411
ENSDARG00000043431,ENSMUSG00000046605
ENSDARG00000029905,ENSMUSG00000079484
ENSDARG00000077082,ENSMUSG00000029007
ENSDARG00000077581,ENSMUSG00000039068
ENSDARG00000018593,ENSMUSG00000032392
ENSDARG00000027826,ENSMUSG00000048875
ENSDARG00000054031,ENSMUSG00000037235
ENSDARG00000062987,ENSMUSG00000056310
ENSDARG00000004296,ENSMUSG00000028356
ENSDARG00000039880,ENSMUSG00000007656
ENSDARG00000035860,ENSMUSG00000067288
ENSDARG00000041078,ENSMUSG00000024843
ENSDARG00000023298,ENSMUSG00000050621
ENSDARG00000023298,ENSMUSG00000090733
ENSDARG00000104332,ENSMUSG00000061048
ENSDARG00000075112,ENSMUSG00000028172
ENSDARG00000074306,ENSMUSG00000050345
ENSDARG00000074306,ENSMUSG00000021440
ENSDARG00000074306,ENSMUSG00000055298
ENSDARG00000074306,ENSMUSG00000114432
ENSDARG00000074306,ENSMUSG00000074874
ENSDARG00000074306,ENSMUSG00000114904
ENSDARG00000074306,ENSMUSG00000044258
ENSDARG00000074306,ENSMUSG00000042243
ENSDARG00000074306,ENSMUSG00000114635
ENSDARG00000074306,ENSMUSG00000056728
ENSDARG00000074306,ENSMUSG00000021477
ENSDARG00000074306,ENSMUSG00000021441
ENSDARG00000074306,ENSMUSG00000021439
ENSDARG00000074306,ENSMUSG00000074870
ENSDARG00000074306,ENSMUSG00000055679
ENSDARG00000074306,ENSMUSG00000057446
ENSDARG00000074306,ENSMUSG00000074871
ENSDARG00000040021,ENSMUSG00000022339
ENSDARG00000036893,ENSMUSG00000039109
ENSDARG00000013266,ENSMUSG00000036655
ENSDARG00000042937,ENSMUSG00000045004
ENSDARG00000094473,ENSMUSG00000051435
ENSDARG00000035018,ENSMUSG00000032011
ENSDARG00000039173,ENSMUSG00000050345
ENSDARG00000039173,ENSMUSG00000021440
ENSDARG00000039173,ENSMUSG00000055298
ENSDARG00000039173,ENSMUSG00000114432
ENSDARG00000039173,ENSMUSG00000074874
ENSDARG00000039173,ENSMUSG00000114904
ENSDARG00000039173,ENSMUSG00000044258
ENSDARG00000039173,ENSMUSG00000042243
ENSDARG00000039173,ENSMUSG00000114635
ENSDARG00000039173,ENSMUSG00000056728
ENSDARG00000039173,ENSMUSG00000021477
ENSDARG00000039173,ENSMUSG00000021441
ENSDARG00000039173,ENSMUSG00000021439
ENSDARG00000039173,ENSMUSG00000074870
ENSDARG00000039173,ENSMUSG00000055679
ENSDARG00000039173,ENSMUSG00000057446
ENSDARG00000039173,ENSMUSG00000074871
ENSDARG00000032264,ENSMUSG00000017861
ENSDARG00000025325,ENSMUSG00000031971
ENSDARG00000056331,ENSMUSG00000027893
ENSDARG00000102080,ENSMUSG00000020743
ENSDARG00000038363,ENSMUSG00000025496
ENSDARG00000010472,ENSMUSG00000007097
ENSDARG00000040643,ENSMUSG00000044052
ENSDARG00000075673,ENSMUSG00000036591
ENSDARG00000017422,ENSMUSG00000033096
ENSDARG00000063390,ENSMUSG00000071552
ENSDARG00000063390,ENSMUSG00000062300
ENSDARG00000063390,ENSMUSG00000053182
ENSDARG00000063390,ENSMUSG00000116542
ENSDARG00000063390,ENSMUSG00000040511
ENSDARG00000063390,ENSMUSG00000053559
ENSDARG00000026403,ENSMUSG00000031209
ENSDARG00000062108,ENSMUSG00000038271
ENSDARG00000042726,ENSMUSG00000019312
ENSDARG00000103155,ENSMUSG00000061731
ENSDARG00000055472,ENSMUSG00000022503
ENSDARG00000088293,ENSMUSG00000020848
ENSDARG00000101050,ENSMUSG00000050106
ENSDARG00000053383,ENSMUSG00000075334
ENSDARG00000056921,ENSMUSG00000032257
ENSDARG00000042057,ENSMUSG00000053286
ENSDARG00000105459,ENSMUSG00000069273
ENSDARG00000088764,ENSMUSG00000039246
ENSDARG00000033754,ENSMUSG00000040302
ENSDARG00000002184,ENSMUSG00000046717
ENSDARG00000002184,ENSMUSG00000031221
ENSDARG00000015681,ENSMUSG00000057177
ENSDARG00000105359,ENSMUSG00000093769
ENSDARG00000079665,ENSMUSG00000045967
ENSDARG00000070846,ENSMUSG00000069565
ENSDARG00000070507,ENSMUSG00000027748
ENSDARG00000009754,ENSMUSG00000102976
ENSDARG00000009754,ENSMUSG00000116275
ENSDARG00000009754,ENSMUSG00000056912
ENSDARG00000004184,ENSMUSG00000020716
ENSDARG00000063155,ENSMUSG00000028436
ENSDARG00000079453,ENSMUSG00000060131
ENSDARG00000042825,ENSMUSG00000058761
ENSDARG00000060036,ENSMUSG00000028029
ENSDARG00000020926,ENSMUSG00000028466
ENSDARG00000019098,ENSMUSG00000027215
ENSDARG00000016897,ENSMUSG00000034391
ENSDARG00000037962,ENSMUSG00000026750
ENSDARG00000003533,ENSMUSG00000068196
ENSDARG00000015566,ENSMUSG00000020661
ENSDARG00000115281,ENSMUSG00000060639
ENSDARG00000020788,ENSMUSG00000027636
ENSDARG00000069245,ENSMUSG00000020583
ENSDARG00000004597,ENSMUSG00000047085
ENSDARG00000009350,ENSMUSG00000022663
ENSDARG00000010956,ENSMUSG00000037062
ENSDARG00000076966,ENSMUSG00000107068
ENSDARG00000076966,ENSMUSG00000092534
ENSDARG00000076966,ENSMUSG00000030680
ENSDARG00000042252,ENSMUSG00000040731
ENSDARG00000042151,ENSMUSG00000029050
ENSDARG00000018008,ENSMUSG00000025963
ENSDARG00000052164,ENSMUSG00000044452
ENSDARG00000071548,ENSMUSG00000022426
ENSDARG00000046141,ENSMUSG00000029559
ENSDARG00000036080,ENSMUSG00000037706
ENSDARG00000041802,ENSMUSG00000030788
ENSDARG00000071679,ENSMUSG00000019579
ENSDARG00000079438,ENSMUSG00000054065
ENSDARG00000086457,ENSMUSG00000044469
ENSDARG00000032552,ENSMUSG00000023307
ENSDARG00000058815,ENSMUSG00000023000
ENSDARG00000013076,ENSMUSG00000026739
ENSDARG00000044626,ENSMUSG00000030613
ENSDARG00000015862,ENSMUSG00000058558
ENSDARG00000014790,ENSMUSG00000029405
ENSDARG00000071396,ENSMUSG00000013701
ENSDARG00000061791,ENSMUSG00000051228
ENSDARG00000075072,ENSMUSG00000034032
ENSDARG00000056531,ENSMUSG00000008450
ENSDARG00000056531,ENSMUSG00000071497
ENSDARG00000011240,ENSMUSG00000002031
ENSDARG00000061185,ENSMUSG00000005982
ENSDARG00000059423,ENSMUSG00000039126
ENSDARG00000079221,ENSMUSG00000047592
ENSDARG00000045857,ENSMUSG00000024081
ENSDARG00000077299,ENSMUSG00000022792
ENSDARG00000033134,ENSMUSG00000024082
ENSDARG00000004433,ENSMUSG00000031264
ENSDARG00000002994,ENSMUSG00000003752
ENSDARG00000022177,ENSMUSG00000026404
ENSDARG00000030311,ENSMUSG00000060332
ENSDARG00000003420,ENSMUSG00000035594
ENSDARG00000060124,ENSMUSG00000031158
ENSDARG00000045874,ENSMUSG00000020171
ENSDARG00000044895,ENSMUSG00000041559
ENSDARG00000041546,ENSMUSG00000090523
ENSDARG00000045691,ENSMUSG00000022635
ENSDARG00000098652,ENSMUSG00000034755
ENSDARG00000017675,ENSMUSG00000041438
ENSDARG00000096118,ENSMUSG00000038803
ENSDARG00000087814,ENSMUSG00000034739
ENSDARG00000101715,ENSMUSG00000020604
ENSDARG00000022918,ENSMUSG00000036430
ENSDARG00000068602,ENSMUSG00000019039
ENSDARG00000002912,ENSMUSG00000026457
ENSDARG00000103395,ENSMUSG00000028849
ENSDARG00000079377,ENSMUSG00000040969
ENSDARG00000016345,ENSMUSG00000039804
ENSDARG00000004034,ENSMUSG00000073433
ENSDARG00000000474,ENSMUSG00000026418
ENSDARG00000054597,ENSMUSG00000034724
ENSDARG00000058695,ENSMUSG00000026674
ENSDARG00000012467,ENSMUSG00000017733
ENSDARG00000012467,ENSMUSG00000074595
ENSDARG00000012467,ENSMUSG00000070531
ENSDARG00000012467,ENSMUSG00000070533
ENSDARG00000012467,ENSMUSG00000019796
ENSDARG00000012467,ENSMUSG00000017310
ENSDARG00000012467,ENSMUSG00000027315
ENSDARG00000067566,ENSMUSG00000043430
ENSDARG00000007383,ENSMUSG00000046410
ENSDARG00000063036,ENSMUSG00000024347
ENSDARG00000019004,ENSMUSG00000023018
ENSDARG00000073704,ENSMUSG00000048489
ENSDARG00000057887,ENSMUSG00000019890
ENSDARG00000045378,ENSMUSG00000067780
ENSDARG00000043757,ENSMUSG00000028382
ENSDARG00000017537,ENSMUSG00000006542
ENSDARG00000012942,ENSMUSG00000022817
ENSDARG00000068934,ENSMUSG00000024087
ENSDARG00000074156,ENSMUSG00000001508
ENSDARG00000058587,ENSMUSG00000052616
ENSDARG00000067507,ENSMUSG00000037653
ENSDARG00000070644,ENSMUSG00000017679
ENSDARG00000037935,ENSMUSG00000007833
ENSDARG00000043664,ENSMUSG00000021070
ENSDARG00000101047,ENSMUSG00000001783
ENSDARG00000005754,ENSMUSG00000033295
ENSDARG00000101217,ENSMUSG00000050592
ENSDARG00000062142,ENSMUSG00000032333
ENSDARG00000088402,ENSMUSG00000034959
ENSDARG00000052361,ENSMUSG00000031712
ENSDARG00000004580,ENSMUSG00000042751
ENSDARG00000087469,ENSMUSG00000048376
ENSDARG00000038066,ENSMUSG00000018362
ENSDARG00000038066,ENSMUSG00000066878
ENSDARG00000055713,ENSMUSG00000055805
ENSDARG00000040352,ENSMUSG00000003623
ENSDARG00000040705,ENSMUSG00000026103
ENSDARG00000040985,ENSMUSG00000032925
ENSDARG00000020610,ENSMUSG00000026414
ENSDARG00000074166,ENSMUSG00000024073
ENSDARG00000002333,ENSMUSG00000040339
ENSDARG00000070626,ENSMUSG00000053395
ENSDARG00000052701,ENSMUSG00000019822
ENSDARG00000058127,ENSMUSG00000045259
ENSDARG00000100823,ENSMUSG00000042682
ENSDARG00000043697,ENSMUSG00000022054
ENSDARG00000077609,ENSMUSG00000043460
ENSDARG00000054331,ENSMUSG00000005124
ENSDARG00000038793,ENSMUSG00000078588
ENSDARG00000063677,ENSMUSG00000024286
ENSDARG00000076748,ENSMUSG00000117406
ENSDARG00000001559,ENSMUSG00000026616
ENSDARG00000044059,ENSMUSG00000038793
ENSDARG00000044059,ENSMUSG00000066652
ENSDARG00000008200,ENSMUSG00000001891
ENSDARG00000024189,ENSMUSG00000045731
ENSDARG00000059459,ENSMUSG00000058706
ENSDARG00000010601,ENSMUSG00000030522
ENSDARG00000078474,ENSMUSG00000042678
ENSDARG00000013110,ENSMUSG00000022099
ENSDARG00000098228,ENSMUSG00000043962
ENSDARG00000038967,ENSMUSG00000004364
ENSDARG00000009372,ENSMUSG00000043670
ENSDARG00000021811,ENSMUSG00000019370
ENSDARG00000021811,ENSMUSG00000063130
ENSDARG00000036064,ENSMUSG00000036810
ENSDARG00000077040,ENSMUSG00000001768
ENSDARG00000098934,ENSMUSG00000018040
ENSDARG00000005772,ENSMUSG00000025264
ENSDARG00000103226,ENSMUSG00000058454
ENSDARG00000094370,ENSMUSG00000059654
ENSDARG00000094370,ENSMUSG00000023140
ENSDARG00000070755,ENSMUSG00000042262
ENSDARG00000021369,ENSMUSG00000038537
ENSDARG00000009748,ENSMUSG00000029027
ENSDARG00000096546,ENSMUSG00000025969
ENSDARG00000002194,ENSMUSG00000028825
ENSDARG00000101222,ENSMUSG00000050188
ENSDARG00000016811,ENSMUSG00000027933
ENSDARG00000006370,ENSMUSG00000033793
ENSDARG00000089885,ENSMUSG00000009378
ENSDARG00000068221,ENSMUSG00000037780
ENSDARG00000068221,ENSMUSG00000024863
ENSDARG00000075853,ENSMUSG00000040990
ENSDARG00000093546,ENSMUSG00000024680
ENSDARG00000093546,ENSMUSG00000024681
ENSDARG00000093546,ENSMUSG00000099398
ENSDARG00000093546,ENSMUSG00000024729
ENSDARG00000093546,ENSMUSG00000067571
ENSDARG00000093546,ENSMUSG00000054523
ENSDARG00000093546,ENSMUSG00000057240
ENSDARG00000093546,ENSMUSG00000094584
ENSDARG00000093546,ENSMUSG00000024728
ENSDARG00000093546,ENSMUSG00000024679
ENSDARG00000093546,ENSMUSG00000024677
ENSDARG00000093546,ENSMUSG00000079419
ENSDARG00000093546,ENSMUSG00000024673
ENSDARG00000093546,ENSMUSG00000024672
ENSDARG00000093546,ENSMUSG00000024731
ENSDARG00000092463,ENSMUSG00000039917
ENSDARG00000035741,ENSMUSG00000014606
ENSDARG00000070787,ENSMUSG00000001552
ENSDARG00000007024,ENSMUSG00000028186
ENSDARG00000094709,ENSMUSG00000017418
ENSDARG00000069765,ENSMUSG00000067629
ENSDARG00000062521,ENSMUSG00000024566
ENSDARG00000067824,ENSMUSG00000033063
ENSDARG00000068894,ENSMUSG00000048490
ENSDARG00000090106,ENSMUSG00000070570
ENSDARG00000069515,ENSMUSG00000035759
ENSDARG00000022718,ENSMUSG00000028282
ENSDARG00000033144,ENSMUSG00000079197
ENSDARG00000033144,ENSMUSG00000078153
ENSDARG00000070513,ENSMUSG00000063952
ENSDARG00000014053,ENSMUSG00000026833
ENSDARG00000077560,ENSMUSG00000020734
ENSDARG00000099448,ENSMUSG00000073758
ENSDARG00000086034,ENSMUSG00000032012
ENSDARG00000043554,ENSMUSG00000022706
ENSDARG00000103494,ENSMUSG00000020905
ENSDARG00000061191,ENSMUSG00000015745
ENSDARG00000025693,ENSMUSG00000031021
ENSDARG00000068261,ENSMUSG00000022912
ENSDARG00000017294,ENSMUSG00000032562
ENSDARG00000012353,ENSMUSG00000011171
ENSDARG00000007825,ENSMUSG00000004936
ENSDARG00000012586,ENSMUSG00000036053
ENSDARG00000043643,ENSMUSG00000042302
ENSDARG00000034309,ENSMUSG00000042148
ENSDARG00000002285,ENSMUSG00000004567
ENSDARG00000015921,ENSMUSG00000001785
ENSDARG00000091624,ENSMUSG00000035780
ENSDARG00000091624,ENSMUSG00000106677
ENSDARG00000091624,ENSMUSG00000107180
ENSDARG00000091624,ENSMUSG00000029268
ENSDARG00000091624,ENSMUSG00000090175
ENSDARG00000091624,ENSMUSG00000090165
ENSDARG00000091624,ENSMUSG00000089675
ENSDARG00000091624,ENSMUSG00000054545
ENSDARG00000091624,ENSMUSG00000090124
ENSDARG00000091624,ENSMUSG00000090145
ENSDARG00000091624,ENSMUSG00000090171
ENSDARG00000091624,ENSMUSG00000089943
ENSDARG00000062951,ENSMUSG00000034105
ENSDARG00000007804,ENSMUSG00000031451
ENSDARG00000016439,ENSMUSG00000041313
ENSDARG00000060991,ENSMUSG00000022412
ENSDARG00000014348,ENSMUSG00000026094
ENSDARG00000045913,ENSMUSG00000034729
ENSDARG00000058005,ENSMUSG00000022821
ENSDARG00000026753,ENSMUSG00000032017
ENSDARG00000012776,ENSMUSG00000031099
ENSDARG00000061603,ENSMUSG00000031626
ENSDARG00000038321,ENSMUSG00000059654
ENSDARG00000038321,ENSMUSG00000023140
ENSDARG00000043635,ENSMUSG00000014633
ENSDARG00000016598,ENSMUSG00000000308
ENSDARG00000011605,ENSMUSG00000015377
ENSDARG00000075441,ENSMUSG00000025082
ENSDARG00000017658,ENSMUSG00000070284
ENSDARG00000045541,ENSMUSG00000029708
ENSDARG00000078245,ENSMUSG00000049721
ENSDARG00000079805,ENSMUSG00000022658
ENSDARG00000093877,ENSMUSG00000042436
ENSDARG00000006283,ENSMUSG00000029684
ENSDARG00000107511,ENSMUSG00000028233
ENSDARG00000012297,ENSMUSG00000026114
ENSDARG00000055416,ENSMUSG00000051029
ENSDARG00000055416,ENSMUSG00000079049
ENSDARG00000055416,ENSMUSG00000044734
ENSDARG00000007149,ENSMUSG00000031391
ENSDARG00000055429,ENSMUSG00000021767
ENSDARG00000003749,ENSMUSG00000031536
ENSDARG00000089681,ENSMUSG00000114133
ENSDARG00000089681,ENSMUSG00000028568
ENSDARG00000078578,ENSMUSG00000037750
ENSDARG00000078807,ENSMUSG00000047617
ENSDARG00000041602,ENSMUSG00000026766
ENSDARG00000103971,ENSMUSG00000038600
ENSDARG00000058011,ENSMUSG00000035277
ENSDARG00000089217,ENSMUSG00000086228
ENSDARG00000045025,ENSMUSG00000017858
ENSDARG00000103663,ENSMUSG00000037966
ENSDARG00000060854,ENSMUSG00000026608
ENSDARG00000016721,ENSMUSG00000021577
ENSDARG00000100524,ENSMUSG00000024130
ENSDARG00000088318,ENSMUSG00000028433
ENSDARG00000043986,ENSMUSG00000031671
ENSDARG00000043857,ENSMUSG00000027746
ENSDARG00000099920,ENSMUSG00000060639
ENSDARG00000079779,ENSMUSG00000029576
ENSDARG00000079731,ENSMUSG00000060012
ENSDARG00000013207,ENSMUSG00000024238
ENSDARG00000100620,ENSMUSG00000059981
ENSDARG00000114534,ENSMUSG00000060639
ENSDARG00000004167,ENSMUSG00000021213
ENSDARG00000004167,ENSMUSG00000021211
ENSDARG00000004167,ENSMUSG00000071551
ENSDARG00000004167,ENSMUSG00000029762
ENSDARG00000004167,ENSMUSG00000052131
ENSDARG00000004167,ENSMUSG00000061758
ENSDARG00000037097,ENSMUSG00000039710
ENSDARG00000037097,ENSMUSG00000054753
ENSDARG00000037097,ENSMUSG00000027737
ENSDARG00000037097,ENSMUSG00000041052
ENSDARG00000037097,ENSMUSG00000031596
ENSDARG00000011246,ENSMUSG00000063334
ENSDARG00000097292,ENSMUSG00000023259
ENSDARG00000102998,ENSMUSG00000036980
ENSDARG00000015998,ENSMUSG00000037572
ENSDARG00000073810,ENSMUSG00000023885
ENSDARG00000018968,ENSMUSG00000000532
ENSDARG00000057410,ENSMUSG00000060735
ENSDARG00000079219,ENSMUSG00000027668
ENSDARG00000058960,ENSMUSG00000027788
ENSDARG00000068820,ENSMUSG00000041126
ENSDARG00000043404,ENSMUSG00000024446
ENSDARG00000076765,ENSMUSG00000061313
ENSDARG00000097648,ENSMUSG00000078307
