Gene stable ID,Human gene stable ID
ENSDARG00000045443,ENSG00000144891
ENSDARG00000019293,ENSG00000198176
ENSDARG00000101085,ENSG00000008324
ENSDARG00000007250,ENSG00000053501
ENSDARG00000011449,ENSG00000182511
ENSDARG00000099200,ENSG00000174080
ENSDARG00000099200,ENSG00000136943
ENSDARG00000099200,ENSG00000135047
ENSDARG00000044753,ENSG00000101365
ENSDARG00000006560,ENSG00000137265
ENSDARG00000074302,ENSG00000169508
ENSDARG00000061371,ENSG00000145526
ENSDARG00000063574,ENSG00000101181
ENSDARG00000086471,ENSG00000168734
ENSDARG00000002377,ENSG00000177427
ENSDARG00000052129,ENSG00000176720
ENSDARG00000098029,ENSG00000175262
ENSDARG00000059773,ENSG00000277363
ENSDARG00000077253,ENSG00000239382
ENSDARG00000100694,ENSG00000118194
ENSDARG00000093799,ENSG00000152217
ENSDARG00000052851,ENSG00000113384
ENSDARG00000009844,ENSG00000158716
ENSDARG00000018871,ENSG00000162639
ENSDARG00000003818,ENSG00000181929
ENSDARG00000038615,ENSG00000165782
ENSDARG00000034734,ENSG00000133997
ENSDARG00000021913,ENSG00000155085
ENSDARG00000105120,ENSG00000033327
ENSDARG00000102929,ENSG00000131943
ENSDARG00000073688,ENSG00000166833
ENSDARG00000027141,ENSG00000236444
ENSDARG00000027141,ENSG00000185651
ENSDARG00000052142,ENSG00000135503
ENSDARG00000039218,ENSG00000165370
ENSDARG00000010717,ENSG00000250479
ENSDARG00000020449,ENSG00000137207
ENSDARG00000044015,ENSG00000168546
ENSDARG00000003206,ENSG00000159685
ENSDARG00000078686,ENSG00000143862
ENSDARG00000044318,ENSG00000139626
ENSDARG00000076025,ENSG00000149091
ENSDARG00000009253,ENSG00000087302
ENSDARG00000062549,ENSG00000153086
ENSDARG00000037555,ENSG00000168874
ENSDARG00000038976,ENSG00000090470
ENSDARG00000039349,ENSG00000186867
ENSDARG00000036588,ENSG00000111981
ENSDARG00000036588,ENSG00000285991
ENSDARG00000036588,ENSG00000155918
ENSDARG00000036588,ENSG00000131019
ENSDARG00000036588,ENSG00000160862
ENSDARG00000036588,ENSG00000131015
ENSDARG00000036588,ENSG00000203722
ENSDARG00000036588,ENSG00000164520
ENSDARG00000036588,ENSG00000204516
ENSDARG00000036588,ENSG00000010704
ENSDARG00000036588,ENSG00000204520
ENSDARG00000098257,ENSG00000150275
ENSDARG00000078717,ENSG00000077943
ENSDARG00000024219,ENSG00000136861
ENSDARG00000102612,ENSG00000139370
ENSDARG00000075818,ENSG00000147443
ENSDARG00000063006,ENSG00000105605
ENSDARG00000055560,ENSG00000182162
ENSDARG00000024771,ENSG00000188467
ENSDARG00000052846,ENSG00000134363
ENSDARG00000092855,ENSG00000068784
ENSDARG00000014024,ENSG00000149534
ENSDARG00000014024,ENSG00000149516
ENSDARG00000014024,ENSG00000166928
ENSDARG00000014024,ENSG00000166961
ENSDARG00000014024,ENSG00000166930
ENSDARG00000014024,ENSG00000204979
ENSDARG00000014024,ENSG00000214782
ENSDARG00000014024,ENSG00000166926
ENSDARG00000014024,ENSG00000110077
ENSDARG00000014024,ENSG00000156738
ENSDARG00000014024,ENSG00000166927
ENSDARG00000014024,ENSG00000172689
ENSDARG00000100531,ENSG00000114779
ENSDARG00000078529,ENSG00000181790
ENSDARG00000091169,ENSG00000198113
ENSDARG00000052010,ENSG00000166595
ENSDARG00000098075,ENSG00000142669
ENSDARG00000069595,ENSG00000183248
ENSDARG00000045070,ENSG00000259753
ENSDARG00000045070,ENSG00000259207
ENSDARG00000055901,ENSG00000127954
ENSDARG00000023111,ENSG00000122194
ENSDARG00000020197,ENSG00000122406
ENSDARG00000040930,ENSG00000155792
ENSDARG00000099685,ENSG00000069966
ENSDARG00000051729,ENSG00000072736
ENSDARG00000077778,ENSG00000163638
ENSDARG00000057227,ENSG00000164542
ENSDARG00000043431,ENSG00000175711
ENSDARG00000029905,ENSG00000175287
ENSDARG00000077082,ENSG00000177674
ENSDARG00000077581,ENSG00000036549
ENSDARG00000018593,ENSG00000138617
ENSDARG00000079455,ENSG00000146938
ENSDARG00000079455,ENSG00000165246
ENSDARG00000027826,ENSG00000130021
ENSDARG00000054031,ENSG00000123933
ENSDARG00000062987,ENSG00000198874
ENSDARG00000062987,ENSG00000277149
ENSDARG00000004296,ENSG00000106927
ENSDARG00000039880,ENSG00000128989
ENSDARG00000035860,ENSG00000233927
ENSDARG00000041078,ENSG00000110721
ENSDARG00000104332,ENSG00000062038
ENSDARG00000075112,ENSG00000169836
ENSDARG00000040021,ENSG00000147654
ENSDARG00000036893,ENSG00000124491
ENSDARG00000013266,ENSG00000118004
ENSDARG00000042937,ENSG00000187144
ENSDARG00000094473,ENSG00000142621
ENSDARG00000071377,ENSG00000167733
ENSDARG00000035018,ENSG00000154096
ENSDARG00000032264,ENSG00000101057
ENSDARG00000025325,ENSG00000154429
ENSDARG00000056331,ENSG00000168710
ENSDARG00000102080,ENSG00000125457
ENSDARG00000038363,ENSG00000069696
ENSDARG00000010472,ENSG00000018625
ENSDARG00000040643,ENSG00000184451
ENSDARG00000075673,ENSG00000107863
ENSDARG00000017422,ENSG00000101474
ENSDARG00000063390,ENSG00000181847
ENSDARG00000063390,ENSG00000130202
ENSDARG00000063390,ENSG00000204475
ENSDARG00000063390,ENSG00000073008
ENSDARG00000063390,ENSG00000170545
ENSDARG00000026403,ENSG00000089472
ENSDARG00000062108,ENSG00000010295
ENSDARG00000076830,ENSG00000275395
ENSDARG00000042726,ENSG00000141738
ENSDARG00000103155,ENSG00000182197
ENSDARG00000055472,ENSG00000103274
ENSDARG00000088293,ENSG00000272636
ENSDARG00000101050,ENSG00000167895
ENSDARG00000053383,ENSG00000177519
ENSDARG00000056921,ENSG00000170209
ENSDARG00000042057,ENSG00000121486
ENSDARG00000105459,ENSG00000183598
ENSDARG00000088764,ENSG00000143353
ENSDARG00000033754,ENSG00000127993
ENSDARG00000002184,ENSG00000266826
ENSDARG00000002184,ENSG00000089289
ENSDARG00000015681,ENSG00000105723
ENSDARG00000015681,ENSG00000268643
ENSDARG00000079665,ENSG00000151025
ENSDARG00000070846,ENSG00000071626
ENSDARG00000070507,ENSG00000133107
ENSDARG00000009754,ENSG00000215817
ENSDARG00000009754,ENSG00000165805
ENSDARG00000009754,ENSG00000058673
ENSDARG00000004184,ENSG00000196712
ENSDARG00000063155,ENSG00000198876
ENSDARG00000079453,ENSG00000104043
ENSDARG00000042825,ENSG00000166439
ENSDARG00000060036,ENSG00000164022
ENSDARG00000020926,ENSG00000107175
ENSDARG00000019098,ENSG00000085117
ENSDARG00000016897,ENSG00000141665
ENSDARG00000037962,ENSG00000136930
ENSDARG00000003533,ENSG00000144810
ENSDARG00000015566,ENSG00000119772
ENSDARG00000020788,ENSG00000101082
ENSDARG00000069245,ENSG00000132031
ENSDARG00000004597,ENSG00000131409
ENSDARG00000009350,ENSG00000144848
ENSDARG00000010956,ENSG00000097033
ENSDARG00000076966,ENSG00000280789
ENSDARG00000042252,ENSG00000106682
ENSDARG00000042151,ENSG00000157933
ENSDARG00000018008,ENSG00000138400
ENSDARG00000052164,ENSG00000168813
ENSDARG00000071548,ENSG00000100221
ENSDARG00000046141,ENSG00000157895
ENSDARG00000036080,ENSG00000110651
ENSDARG00000041802,ENSG00000110315
ENSDARG00000071679,ENSG00000074842
ENSDARG00000079438,ENSG00000184363
ENSDARG00000086457,ENSG00000185361
ENSDARG00000032552,ENSG00000198060
ENSDARG00000058815,ENSG00000139549
ENSDARG00000013076,ENSG00000269897
ENSDARG00000013076,ENSG00000168283
ENSDARG00000044626,ENSG00000137500
ENSDARG00000015862,ENSG00000122406
ENSDARG00000014790,ENSG00000138757
ENSDARG00000071396,ENSG00000265354
ENSDARG00000071396,ENSG00000204152
ENSDARG00000061791,ENSG00000188937
ENSDARG00000075072,ENSG00000103932
ENSDARG00000056531,ENSG00000102898
ENSDARG00000011240,ENSG00000118096
ENSDARG00000061185,ENSG00000122390
ENSDARG00000059423,ENSG00000106772
ENSDARG00000045857,ENSG00000115816
ENSDARG00000077299,ENSG00000139131
ENSDARG00000033134,ENSG00000003509
ENSDARG00000004433,ENSG00000010671
ENSDARG00000002994,ENSG00000086544
ENSDARG00000022177,ENSG00000118197
ENSDARG00000030311,ENSG00000149488
ENSDARG00000003420,ENSG00000169684
ENSDARG00000060124,ENSG00000126768
ENSDARG00000045874,ENSG00000127337
ENSDARG00000044895,ENSG00000122176
ENSDARG00000041546,ENSG00000136732
ENSDARG00000045691,ENSG00000139168
ENSDARG00000098652,ENSG00000099715
ENSDARG00000098652,ENSG00000102290
ENSDARG00000017675,ENSG00000141076
ENSDARG00000096118,ENSG00000228474
ENSDARG00000087814,ENSG00000235718
ENSDARG00000101715,ENSG00000141337
ENSDARG00000022918,ENSG00000124659
ENSDARG00000068602,ENSG00000178149
ENSDARG00000002912,ENSG00000159346
ENSDARG00000103395,ENSG00000116871
ENSDARG00000079377,ENSG00000236699
ENSDARG00000016345,ENSG00000124160
ENSDARG00000004034,ENSG00000242173
ENSDARG00000000474,ENSG00000159173
ENSDARG00000054597,ENSG00000138767
ENSDARG00000058695,ENSG00000162733
ENSDARG00000012467,ENSG00000101448
ENSDARG00000012467,ENSG00000249139
ENSDARG00000012467,ENSG00000158901
ENSDARG00000012467,ENSG00000120256
ENSDARG00000012467,ENSG00000243543
ENSDARG00000012467,ENSG00000149651
ENSDARG00000012467,ENSG00000166145
ENSDARG00000067566,ENSG00000178597
ENSDARG00000007383,ENSG00000099337
ENSDARG00000063036,ENSG00000146005
ENSDARG00000093079,ENSG00000115718
ENSDARG00000019004,ENSG00000066117
ENSDARG00000073704,ENSG00000165507
ENSDARG00000057887,ENSG00000133636
ENSDARG00000045378,ENSG00000137558
ENSDARG00000043757,ENSG00000119314
ENSDARG00000017537,ENSG00000115592
ENSDARG00000012942,ENSG00000082781
ENSDARG00000068934,ENSG00000138061
ENSDARG00000074156,ENSG00000108823
ENSDARG00000058587,ENSG00000249961
ENSDARG00000067507,ENSG00000183783
ENSDARG00000070644,ENSG00000124120
ENSDARG00000037935,ENSG00000161618
ENSDARG00000043664,ENSG00000168398
ENSDARG00000101047,ENSG00000100220
ENSDARG00000005754,ENSG00000142949
ENSDARG00000101217,ENSG00000126882
ENSDARG00000062142,ENSG00000067221
ENSDARG00000088402,ENSG00000102445
ENSDARG00000052361,ENSG00000164136
ENSDARG00000004580,ENSG00000157064
ENSDARG00000087469,ENSG00000181104
ENSDARG00000038066,ENSG00000182481
ENSDARG00000055713,ENSG00000184922
ENSDARG00000040352,ENSG00000005469
ENSDARG00000040705,ENSG00000115419
ENSDARG00000040985,ENSG00000198542
ENSDARG00000020610,ENSG00000118194
ENSDARG00000074166,ENSG00000115760
ENSDARG00000002333,ENSG00000162636
ENSDARG00000070626,ENSG00000142408
ENSDARG00000071143,ENSG00000112763
ENSDARG00000052701,ENSG00000135587
ENSDARG00000058127,ENSG00000162755
ENSDARG00000100823,ENSG00000113811
ENSDARG00000077609,ENSG00000166897
ENSDARG00000054331,ENSG00000104415
ENSDARG00000038793,ENSG00000159214
ENSDARG00000063677,ENSG00000108100
ENSDARG00000076748,ENSG00000162068
ENSDARG00000001559,ENSG00000117322
ENSDARG00000044059,ENSG00000143768
ENSDARG00000044059,ENSG00000243709
ENSDARG00000008200,ENSG00000169764
ENSDARG00000024189,ENSG00000168081
ENSDARG00000103498,ENSG00000086289
ENSDARG00000059459,ENSG00000168887
ENSDARG00000010601,ENSG00000166912
ENSDARG00000078474,ENSG00000091536
ENSDARG00000013110,ENSG00000158856
ENSDARG00000098228,ENSG00000054118
ENSDARG00000038967,ENSG00000036257
ENSDARG00000009372,ENSG00000176490
ENSDARG00000021811,ENSG00000178363
ENSDARG00000021811,ENSG00000160014
ENSDARG00000036064,ENSG00000205423
ENSDARG00000077040,ENSG00000132669
ENSDARG00000098934,ENSG00000189306
ENSDARG00000005772,ENSG00000158526
ENSDARG00000103226,ENSG00000172893
ENSDARG00000094370,ENSG00000115386
ENSDARG00000094370,ENSG00000143954
ENSDARG00000094370,ENSG00000172016
ENSDARG00000094370,ENSG00000172023
ENSDARG00000070755,ENSG00000179934
ENSDARG00000021369,ENSG00000124089
ENSDARG00000009748,ENSG00000169598
ENSDARG00000096546,ENSG00000118257
ENSDARG00000002194,ENSG00000188672
ENSDARG00000002194,ENSG00000187010
ENSDARG00000101222,ENSG00000181817
ENSDARG00000016811,ENSG00000143624
ENSDARG00000006370,ENSG00000047249
ENSDARG00000089885,ENSG00000152779
ENSDARG00000068221,ENSG00000165471
ENSDARG00000075853,ENSG00000147010
ENSDARG00000093546,ENSG00000149534
ENSDARG00000093546,ENSG00000149516
ENSDARG00000093546,ENSG00000166928
ENSDARG00000093546,ENSG00000166961
ENSDARG00000093546,ENSG00000166930
ENSDARG00000093546,ENSG00000204979
ENSDARG00000093546,ENSG00000214782
ENSDARG00000093546,ENSG00000166926
ENSDARG00000093546,ENSG00000110077
ENSDARG00000093546,ENSG00000156738
ENSDARG00000093546,ENSG00000166927
ENSDARG00000093546,ENSG00000172689
ENSDARG00000092463,ENSG00000005486
ENSDARG00000035741,ENSG00000108528
ENSDARG00000070787,ENSG00000173801
ENSDARG00000094709,ENSG00000165997
ENSDARG00000069765,ENSG00000197283
ENSDARG00000062521,ENSG00000166377
ENSDARG00000074815,ENSG00000101825
ENSDARG00000067824,ENSG00000154529
ENSDARG00000067824,ENSG00000106714
ENSDARG00000067824,ENSG00000283378
ENSDARG00000068894,ENSG00000180530
ENSDARG00000090106,ENSG00000104888
ENSDARG00000069515,ENSG00000179941
ENSDARG00000022718,ENSG00000118412
ENSDARG00000033144,ENSG00000100911
ENSDARG00000070513,ENSG00000096070
ENSDARG00000014053,ENSG00000130558
ENSDARG00000077560,ENSG00000161509
ENSDARG00000099448,ENSG00000214193
ENSDARG00000086034,ENSG00000110400
ENSDARG00000043554,ENSG00000185608
ENSDARG00000103494,ENSG00000154914
ENSDARG00000061191,ENSG00000023902
ENSDARG00000025693,ENSG00000175348
ENSDARG00000068261,ENSG00000184500
ENSDARG00000017294,ENSG00000114353
ENSDARG00000012353,ENSG00000106018
ENSDARG00000007825,ENSG00000169032
ENSDARG00000012586,ENSG00000157827
ENSDARG00000043643,ENSG00000115504
ENSDARG00000034309,ENSG00000006695
ENSDARG00000002285,ENSG00000090674
ENSDARG00000015921,ENSG00000136045
ENSDARG00000091624,ENSG00000135220
ENSDARG00000091624,ENSG00000171234
ENSDARG00000091624,ENSG00000156096
ENSDARG00000091624,ENSG00000196620
ENSDARG00000091624,ENSG00000197888
ENSDARG00000091624,ENSG00000173610
ENSDARG00000091624,ENSG00000271271
ENSDARG00000091624,ENSG00000242366
ENSDARG00000091624,ENSG00000242515
ENSDARG00000091624,ENSG00000244122
ENSDARG00000091624,ENSG00000241119
ENSDARG00000091624,ENSG00000167165
ENSDARG00000091624,ENSG00000145626
ENSDARG00000091624,ENSG00000109181
ENSDARG00000091624,ENSG00000135226
ENSDARG00000091624,ENSG00000213759
ENSDARG00000091624,ENSG00000240224
ENSDARG00000091624,ENSG00000243135
ENSDARG00000091624,ENSG00000244474
ENSDARG00000062951,ENSG00000140950
ENSDARG00000007804,ENSG00000183087
ENSDARG00000016439,ENSG00000139514
ENSDARG00000060991,ENSG00000100335
ENSDARG00000014348,ENSG00000081320
ENSDARG00000045913,ENSG00000048544
ENSDARG00000058005,ENSG00000113924
ENSDARG00000026753,ENSG00000149403
ENSDARG00000012776,ENSG00000102038
ENSDARG00000061603,ENSG00000154556
ENSDARG00000038321,ENSG00000115386
ENSDARG00000038321,ENSG00000143954
ENSDARG00000038321,ENSG00000172016
ENSDARG00000038321,ENSG00000172023
ENSDARG00000043635,ENSG00000103121
ENSDARG00000016598,ENSG00000237289
ENSDARG00000016598,ENSG00000223572
ENSDARG00000011605,ENSG00000205593
ENSDARG00000075441,ENSG00000165816
ENSDARG00000017658,ENSG00000173540
ENSDARG00000045541,ENSG00000179562
ENSDARG00000078245,ENSG00000128242
ENSDARG00000079805,ENSG00000144834
ENSDARG00000093877,ENSG00000166482
ENSDARG00000006283,ENSG00000106299
ENSDARG00000076981,ENSG00000221878
ENSDARG00000107511,ENSG00000137574
ENSDARG00000012297,ENSG00000144191
ENSDARG00000043010,ENSG00000145349
ENSDARG00000055416,ENSG00000021355
ENSDARG00000007149,ENSG00000198910
ENSDARG00000055429,ENSG00000156650
ENSDARG00000003749,ENSG00000070501
ENSDARG00000101675,ENSG00000196735
ENSDARG00000101675,ENSG00000237541
ENSDARG00000089681,ENSG00000134717
ENSDARG00000078578,ENSG00000173065
ENSDARG00000078807,ENSG00000148362
ENSDARG00000041602,ENSG00000168288
ENSDARG00000103971,ENSG00000105929
ENSDARG00000058011,ENSG00000004848
ENSDARG00000007842,ENSG00000152034
ENSDARG00000089217,ENSG00000246922
ENSDARG00000045025,ENSG00000101052
ENSDARG00000103663,ENSG00000131669
ENSDARG00000060854,ENSG00000136636
ENSDARG00000016721,ENSG00000286001
ENSDARG00000016721,ENSG00000073578
ENSDARG00000100524,ENSG00000167972
ENSDARG00000088318,ENSG00000137073
ENSDARG00000043986,ENSG00000103037
ENSDARG00000043857,ENSG00000120686
ENSDARG00000079779,ENSG00000157927
ENSDARG00000079731,ENSG00000197892
ENSDARG00000013207,ENSG00000148516
ENSDARG00000100620,ENSG00000149930
ENSDARG00000004167,ENSG00000151632
ENSDARG00000004167,ENSG00000162482
ENSDARG00000004167,ENSG00000196139
ENSDARG00000004167,ENSG00000187134
ENSDARG00000004167,ENSG00000264006
ENSDARG00000004167,ENSG00000198610
ENSDARG00000004167,ENSG00000227471
ENSDARG00000004167,ENSG00000198074
ENSDARG00000037097,ENSG00000151012
ENSDARG00000037097,ENSG00000164893
ENSDARG00000037097,ENSG00000003989
ENSDARG00000011246,ENSG00000111615
ENSDARG00000097292,ENSG00000225697
ENSDARG00000102998,ENSG00000106290
ENSDARG00000015998,ENSG00000198554
ENSDARG00000073810,ENSG00000186340
ENSDARG00000018968,ENSG00000135503
ENSDARG00000079219,ENSG00000171109
ENSDARG00000058960,ENSG00000182447
ENSDARG00000068820,ENSG00000105968
ENSDARG00000043404,ENSG00000241370
ENSDARG00000076765,ENSG00000085788
ENSDARG00000097648,ENSG00000185742
ENSDARG00000100666,ENSG00000100393
ENSDARG00000068822,ENSG00000146676
ENSDARG00000095674,ENSG00000152558
ENSDARG00000078233,ENSG00000198561
ENSDARG00000003449,ENSG00000112541
ENSDARG00000055381,ENSG00000095739
ENSDARG00000018270,ENSG00000130558
ENSDARG00000070600,ENSG00000143479
ENSDARG00000006891,ENSG00000170745
ENSDARG00000058801,ENSG00000009413
ENSDARG00000077467,ENSG00000100146
ENSDARG00000032820,ENSG00000133105
ENSDARG00000019920,ENSG00000143768
ENSDARG00000019920,ENSG00000243709
ENSDARG00000021346,ENSG00000168291
ENSDARG00000037373,ENSG00000133216
ENSDARG00000062919,ENSG00000116205
ENSDARG00000042285,ENSG00000130270
ENSDARG00000060338,ENSG00000183665
ENSDARG00000090778,ENSG00000100271
ENSDARG00000002971,ENSG00000047634
ENSDARG00000002971,ENSG00000129028
ENSDARG00000074754,ENSG00000165948
ENSDARG00000074754,ENSG00000165949
ENSDARG00000100223,ENSG00000149564
ENSDARG00000005057,ENSG00000086189
ENSDARG00000077710,ENSG00000169760
ENSDARG00000016085,ENSG00000076770
ENSDARG00000062811,ENSG00000078589
ENSDARG00000056625,ENSG00000137672
ENSDARG00000040247,ENSG00000165621
ENSDARG00000008757,ENSG00000197586
ENSDARG00000075141,ENSG00000167191
ENSDARG00000101540,ENSG00000186895
ENSDARG00000018726,ENSG00000176463
ENSDARG00000070839,ENSG00000067208
ENSDARG00000044053,ENSG00000163032
ENSDARG00000062457,ENSG00000001497
ENSDARG00000040186,ENSG00000177150
ENSDARG00000004158,ENSG00000165548
ENSDARG00000098622,ENSG00000105173
ENSDARG00000063258,ENSG00000143390
ENSDARG00000025875,ENSG00000180901
ENSDARG00000005561,ENSG00000164347
ENSDARG00000061216,ENSG00000169660
ENSDARG00000052103,ENSG00000168393
ENSDARG00000060639,ENSG00000034053
ENSDARG00000058003,ENSG00000103175
ENSDARG00000016584,ENSG00000182901
ENSDARG00000104314,ENSG00000157168
ENSDARG00000018206,ENSG00000071051
ENSDARG00000055722,ENSG00000197580
ENSDARG00000099339,ENSG00000165912
ENSDARG00000013871,ENSG00000100170
ENSDARG00000035148,ENSG00000160991
ENSDARG00000058354,ENSG00000198843
ENSDARG00000079823,ENSG00000134056
ENSDARG00000042332,ENSG00000147872
ENSDARG00000022845,ENSG00000121897
ENSDARG00000037091,ENSG00000104763
ENSDARG00000059817,ENSG00000150712
ENSDARG00000036903,ENSG00000146243
ENSDARG00000017220,ENSG00000264522
ENSDARG00000029463,ENSG00000153317
ENSDARG00000069339,ENSG00000162065
ENSDARG00000069339,ENSG00000260272
ENSDARG00000018321,ENSG00000179528
ENSDARG00000018321,ENSG00000138136
ENSDARG00000075593,ENSG00000206557
ENSDARG00000018618,ENSG00000111605
ENSDARG00000019556,ENSG00000103249
ENSDARG00000013708,ENSG00000114374
ENSDARG00000013708,ENSG00000124486
ENSDARG00000093313,ENSG00000150991
ENSDARG00000045131,ENSG00000172201
ENSDARG00000032653,ENSG00000139146
ENSDARG00000035890,ENSG00000179163
ENSDARG00000039390,ENSG00000154079
ENSDARG00000056015,ENSG00000159184
ENSDARG00000074363,ENSG00000133985
ENSDARG00000033604,ENSG00000163956
ENSDARG00000044574,ENSG00000144642
ENSDARG00000078348,ENSG00000100207
ENSDARG00000060687,ENSG00000173575
ENSDARG00000060687,ENSG00000279765
ENSDARG00000087529,ENSG00000160117
ENSDARG00000033855,ENSG00000144580
ENSDARG00000021059,ENSG00000023330
ENSDARG00000077469,ENSG00000125630
ENSDARG00000035629,ENSG00000197702
ENSDARG00000055833,ENSG00000115386
ENSDARG00000055833,ENSG00000143954
ENSDARG00000055833,ENSG00000172016
ENSDARG00000055833,ENSG00000172023
ENSDARG00000070037,ENSG00000135824
ENSDARG00000070037,ENSG00000143333
ENSDARG00000045493,ENSG00000175782
ENSDARG00000078093,ENSG00000154997
ENSDARG00000078042,ENSG00000142166
ENSDARG00000038882,ENSG00000113810
ENSDARG00000030097,ENSG00000125775
ENSDARG00000031463,ENSG00000134207
ENSDARG00000053135,ENSG00000179002
ENSDARG00000062152,ENSG00000167670
ENSDARG00000075528,ENSG00000232859
ENSDARG00000075528,ENSG00000266202
ENSDARG00000062978,ENSG00000198003
ENSDARG00000042623,ENSG00000182827
ENSDARG00000037002,ENSG00000181026
ENSDARG00000036066,ENSG00000156006
ENSDARG00000036066,ENSG00000171428
ENSDARG00000090822,ENSG00000151552
ENSDARG00000057273,ENSG00000012779
ENSDARG00000054454,ENSG00000116106
ENSDARG00000037261,ENSG00000099810
ENSDARG00000037261,ENSG00000264545
ENSDARG00000061916,ENSG00000171729
ENSDARG00000042319,ENSG00000170779
ENSDARG00000105112,ENSG00000065320
ENSDARG00000001014,ENSG00000100345
ENSDARG00000031637,ENSG00000152520
ENSDARG00000017111,ENSG00000137414
ENSDARG00000068702,ENSG00000183060
ENSDARG00000011886,ENSG00000116703
ENSDARG00000057323,ENSG00000129173
